id	CFB1	CFB2	CFB3	TFB1	TFB2	TFB3	logFC	logCPM	LR	PValue	FDR	sig	up/down
gnl|Amel_4.5|GB40005-RA	12	7	0	25	92	32	4.277963991	1.481157038	22.17401005	2.49022E-06	0.000198965	1	+
gnl|Amel_4.5|GB40006-RA	32	9	6	232	1141	587	6.724671418	5.228608794	84.84621794	3.22497E-20	1.27118E-16	1	+
gnl|Amel_4.5|GB40007-RA	2873	4532	3213	3558	1347	1686	0.593654261	7.967880326	0.888579654	0.345862498	0.657117195	0	+
gnl|Amel_4.5|GB40008-RA	6497	1577	904	332	3100	1653	0.606715095	7.308529745	0.833770585	0.361184486	0.668598395	0	+
gnl|Amel_4.5|GB40009-RA	79357	83571	52056	31794	34211	28871	0.081244387	11.93494245	0.025051158	0.874239654	0.956916748	0	+
gnl|Amel_4.5|GB40010-RA	222947	233348	157089	102559	78356	65879	-0.023830399	13.40265501	0.002018713	0.964163034	0.987290256	0	-
gnl|Amel_4.5|GB40012-RA	27	2	12	2	31	36	2.092138959	0.705768105	4.566468356	0.032603713	0.204255566	0	+
gnl|Amel_4.5|GB40013-RA	51	9	10	30	21	24	1.695279288	1.034529543	4.772541795	0.028917102	0.191780558	0	+
gnl|Amel_4.5|GB40014-RA	445	100	42	45	153	92	0.509780255	3.29774588	0.594536968	0.440670044	0.726058698	0	+
gnl|Amel_4.5|GB40015-RA	115	13	7	7	42	11	0.369527573	1.137908507	0.173238306	0.677249714	0.862332063	0	+
gnl|Amel_4.5|GB40016-RA	8	4	5	10	39	16	3.097890745	0.398465359	13.47060481	0.00024233	0.007580832	1	+
gnl|Amel_4.5|GB40017-RA	1783	1914	1327	920	529	618	0.029583702	6.506602856	0.002947423	0.956703981	0.985343637	0	+
gnl|Amel_4.5|GB40018-RA	1229	390	441	73	186	34	-1.494705529	4.47190767	6.322347068	0.011922572	0.115880992	0	-
gnl|Amel_4.5|GB40019-RA	3677	2465	2493	699	889	657	-0.673361008	6.932582107	1.850584514	0.173715427	0.471792002	0	-
gnl|Amel_4.5|GB40020-RA	179	18	20	4	92	18	0.501842225	1.879683993	0.306327315	0.579942685	0.810067522	0	+
gnl|Amel_4.5|GB40021-RA	241971	156111	98817	77132	95360	58577	0.239307552	13.12377261	0.231103541	0.630706774	0.840328551	0	+
gnl|Amel_4.5|GB40022-RA	44	22	18	17	6	13	0.2453794	0.66130602	0.101117223	0.75049302	0.901613326	0	+
gnl|Amel_4.5|GB40026-RA	4	0	0	0	0	2	0.680734796	-2.251062652	0.132857319	0.715487676	0.881561362	0	+
gnl|Amel_4.5|GB40027-RA	59	46	8	11	9	20	-0.042064969	0.930239711	0.002710991	0.958475168	0.985343637	0	-
gnl|Amel_4.5|GB40028-RA	227	113	113	57	48	32	-0.345798186	2.780630188	0.319625892	0.571832557	0.805086318	0	-
gnl|Amel_4.5|GB40029-RA	82	67	85	50	65	36	0.556234792	2.399320939	0.772071752	0.379576901	0.683700969	0	+
