"","ID","C.1","C.2","C.3","T.1","T.2","T.3","baseMean","log2FoldChange","lfcSE","stat","pVal","adjPVal"
"1","gnl|Amel_4.5|GB46159-RA",20,18,10,19,373,228,144.499644300948,-4.31293156270352,0.952195884986311,-4.52945830863943,5.91351011753844e-06,0.0697321113060133
"2","gnl|Amel_4.5|GB50882-RA",3,1,0,1,78,32,24.4800641543625,-5.86419659899138,1.44469792779966,-4.05911608658761,4.92588221898382e-05,0.290430015631286
"3","gnl|Amel_4.5|GB40250-RA",13,10,12,42,82,88,51.200148789827,-2.97142445070114,0.83441269049818,-3.56109690628875,0.000369308740264825,0.597818433950599
"4","gnl|Amel_4.5|GB41011-RA",144,10,10,63,172,288,133.181158018267,-3.08684801633232,0.887778703959614,-3.47704670382896,0.000506969499618893,0.597818433950599
"5","gnl|Amel_4.5|GB41700-RA",60,22,49,27,565,553,286.676908845316,-3.5590582445301,1.0060690948839,-3.53758828556483,0.000403799164694316,0.597818433950599
"6","gnl|Amel_4.5|GB42000-RA",1582,289,141,393,2907,2846,1576.89180684862,-2.89050315643128,0.830455870420215,-3.48062222134533,0.000500250527685382,0.597818433950599
"7","gnl|Amel_4.5|GB47224-RA",4303,1860,1205,2679,14127,12231,7343.20909747516,-2.79220270820575,0.747387234964669,-3.7359518300279,0.000187006467065362,0.597818433950599
"8","gnl|Amel_4.5|GB47799-RA",1708,276,349,329,7373,3776,2774.08809616224,-3.27281439131561,0.918422066106438,-3.56351890061875,0.000365916334658272,0.597818433950599
"9","gnl|Amel_4.5|GB53833-RA",20,2,11,4,198,146,84.0356398774388,-4.01444119179365,1.13889940833302,-3.52484263528549,0.000423734430296662,0.597818433950599
"10","gnl|Amel_4.5|GB53860-RA",24,3,5,8,144,50,46.448063143443,-3.6018758724434,1.02882318324386,-3.50096686301992,0.000463573481180143,0.597818433950599
"11","gnl|Amel_4.5|GB42300-RA",35,14,6,28,130,49,48.4716787608001,-2.76996216554811,0.815229771668176,-3.39776865592143,0.000679378448816477,0.610994919752185
"12","gnl|Amel_4.5|GB48917-RA",774,203,471,284,5704,3818,2419.89038999259,-3.25648134295929,0.958121394340767,-3.3988191498426,0.000676774512831095,0.610994919752185
"13","gnl|Amel_4.5|GB52171-RA",16,2,4,15,53,43,26.4923278480354,-3.24005638122607,0.956301157999627,-3.38811299570478,0.000703752652138285,0.610994919752185
"14","gnl|Amel_4.5|GB53592-RA",238,78,49,140,551,347,261.58750938221,-2.38554688031807,0.705826059031873,-3.37979428471392,0.000725401024129121,0.610994919752185
"15","gnl|Amel_4.5|GB52109-RA",385,134,58,227,805,420,362.356071010433,-2.26583002421981,0.675203697556644,-3.35577253563503,0.000791436337258762,0.622174485930354
"16","gnl|Amel_4.5|GB43688-RA",56,207,19,12,12,4,44.1740285167654,2.99006565799297,0.91087970097299,3.28261312091928,0.00102849711051071,0.63831778563907
"17","gnl|Amel_4.5|GB45198-RA",123,17,21,25,440,196,159.767226786952,-3.06941291168887,0.92872592546756,-3.30497171180356,0.000949859864980984,0.63831778563907
"18","gnl|Amel_4.5|GB49901-RA",177,18,27,22,582,354,235.540521157402,-3.24101684789333,0.980141750029796,-3.30668176087265,0.000944080799453295,0.63831778563907
"19","gnl|Amel_4.5|GB52937-RA",132,52,34,58,391,293,190.076657376298,-2.61364631195505,0.796181333238253,-3.28272744266026,0.00102808013870609,0.63831778563907
"20","gnl|Amel_4.5|GB53929-RA",12,0,6,12,51,76,34.7316501764352,-3.68102153697236,1.12894063545217,-3.26059796359266,0.00111177554634745,0.655502862126454
"21","gnl|Amel_4.5|GB52250-RA",247,211,88,75,23,13,91.4075828608884,2.07784941001297,0.64685513265517,3.2122330103248,0.00131707505072715,0.739568999913072
"22","gnl|Amel_4.5|GB47507-RA",3,2,3,5,69,13,19.1781036960052,-3.82205745708924,1.20014735016364,-3.18465683115335,0.0014492575747072,0.776802060043061
"23","gnl|Amel_4.5|GB44976-RA",913,63,147,105,2859,1562,1112.69281423643,-3.12703821503757,0.988169763842333,-3.16447469803023,0.00155363169987928,0.796540217607671
"24","gnl|Amel_4.5|GB49672-RA",355,189,85,232,712,629,415.620175259633,-2.13937238373382,0.682114066908194,-3.13638508208885,0.00171044454821725,0.840398421357409
"25","gnl|Amel_4.5|GB46208-RA",81,2,5,18,141,136,73.7666334564983,-3.20315765849265,1.03927184602075,-3.08211722539888,0.00205533879105036,0.932175193233303
"26","gnl|Amel_4.5|GB47614-RA",334,84,67,126,696,463,332.508256316261,-2.34257800253449,0.7599902020803,-3.08237921505069,0.00205353049203623,0.932175193233303
"27","gnl|Amel_4.5|GB49650-RA",3716,700,443,1262,4129,5066,2815.29493580984,-2.28692355245673,0.744996882726526,-3.06970888802526,0.0021426750973283,0.935793509173899
"28","gnl|Amel_4.5|GB40209-RA",6,0,0,2,42,8,11.07352620714,-4.41802626464705,1.56160865434854,-2.82915073014252,0.00466717119635233,0.993472149480866
"29","gnl|Amel_4.5|GB40343-RA",92,21,9,36,160,88,71.4849955875497,-2.32116054598141,0.793608339924447,-2.92481874144921,0.00344656912063848,0.993472149480866
"30","gnl|Amel_4.5|GB40553-RA",7,0,4,4,42,32,19.1417457439661,-3.48072986173313,1.2435695635492,-2.7989828343812,0.00512638626096034,0.993472149480866
"31","gnl|Amel_4.5|GB40605-RA",0,0,0,8,6,7,4.0573772170619,-5.67493367851179,1.91773075572132,-2.95919208761778,0.00308446772705952,0.993472149480866
"32","gnl|Amel_4.5|GB40647-RA",37,19,23,29,143,135,80.6589871156864,-2.48572432409568,0.85847420917557,-2.89551427116585,0.00378537817242665,0.993472149480866
"33","gnl|Amel_4.5|GB41339-RA",109,37,17,27,344,106,117.477376630735,-2.49143733536829,0.868237160245146,-2.86953547883718,0.00411075212413883,0.993472149480866
"34","gnl|Amel_4.5|GB41521-RA",208,61,24,84,348,182,157.760159711454,-2.1009012847348,0.727398611183303,-2.88823934007399,0.00387404969412639,0.993472149480866
"35","gnl|Amel_4.5|GB41552-RA",79,29,4,51,105,75,57.683711640158,-2.12733546622218,0.759189042655918,-2.80211560849191,0.00507686769529564,0.993472149480866
"36","gnl|Amel_4.5|GB42049-RA",1241,214,166,254,2431,1198,996.94287664255,-2.35609109982894,0.820708426347225,-2.87080164427619,0.00409432352579451,0.993472149480866
"37","gnl|Amel_4.5|GB42156-RA",81,20,49,12,582,300,220.989976368584,-3.06895440188339,1.04681844836839,-2.93169690185226,0.00337115585808587,0.993472149480866
"38","gnl|Amel_4.5|GB42178-RA",1199,445,225,547,2336,1133,1046.04242130208,-1.97479356621261,0.686042439928396,-2.87852973996583,0.00399533607721419,0.993472149480866
"39","gnl|Amel_4.5|GB43112-RA",51806,6526,7811,21715,98004,27942,36285.7947990683,-2.13330555277453,0.756524206497178,-2.81987745329665,0.00480419926802863,0.993472149480866
"40","gnl|Amel_4.5|GB43309-RA",352,135,49,238,343,320,240.725487517399,-1.6682327389599,0.591365694027569,-2.82098328632863,0.00478766972161493,0.993472149480866
"41","gnl|Amel_4.5|GB44178-RA",86,54,70,53,528,329,235.127788928188,-2.49648721599637,0.889706989732176,-2.80596560981035,0.00501660460671702,0.993472149480866
"42","gnl|Amel_4.5|GB44634-RA",177,14,142,23,1777,902,655.648256759387,-3.3484734660901,1.15826414554384,-2.89094113719449,0.00384090053203734,0.993472149480866
"43","gnl|Amel_4.5|GB44639-RA",47,10,4,27,72,41,34.2946019761814,-2.27075156005853,0.816044268502811,-2.78263281503669,0.00539197910166006,0.993472149480866
"44","gnl|Amel_4.5|GB44847-RA",0,0,0,8,3,8,3.7351300864247,-5.55208869137516,1.99404765116958,-2.78433100037437,0.00536382651596916,0.993472149480866
"45","gnl|Amel_4.5|GB45088-RA",17,1,4,4,48,53,26.7690128088905,-3.29714143198902,1.13155237183876,-2.91382132550453,0.00357034189697559,0.993472149480866
