"","ID","C.1","C.2","C.3","T.1","T.2","T.3","baseMean","log2FoldChange","lfcSE","stat","pVal","adjPVal"
"1","gnl|Amel_4.5|GB42700-RA",42,18,16,114,48,75,58.0860798782975,-2.56869574443657,0.570795626707668,-4.50020221642679,6.7888848397804e-06,0.0286719411287879
"2","gnl|Amel_4.5|GB45522-RA",632,53,61,18,2,2,63.1981219321362,4.04443066448527,0.901775161534149,4.48496569544526,7.29256662877183e-06,0.0286719411287879
"3","gnl|Amel_4.5|GB45614-RA",287,110,16,456,468,711,435.371429513491,-3.41463331606091,0.740007832851581,-4.61432050374765,3.94383439563066e-06,0.0286719411287879
"4","gnl|Amel_4.5|GB42799-RA",17,4,2,47,25,21,21.5289983158395,-3.15879194236399,0.804633814872015,-3.9257509241846,8.64595865185988e-05,0.193527285757402
"5","gnl|Amel_4.5|GB49250-RA",360,70,94,14,14,7,59.5538994153544,2.70931205218677,0.695695807335837,3.8943918069049,9.84454187829091e-05,0.193527285757402
"6","gnl|Amel_4.5|GB50218-RA",27,10,18,15,140,176,100.980758535042,-3.82707234774787,0.959829182182778,-3.98724316658575,6.68455045119851e-05,0.193527285757402
"7","gnl|Amel_4.5|GB45954-RA",115,4,35,32,267,576,259.848720978038,-4.04726568041074,1.06610085140939,-3.79632534301069,0.000146856742885229,0.24745361176161
"8","gnl|Amel_4.5|GB40535-RA",432,21,60,18,3,2,46.0307144396305,3.44556885341896,0.943606565594634,3.65148885038508,0.000260724420085178,0.369763673678196
"9","gnl|Amel_4.5|GB51627-RA",477,98,90,41,16,10,74.9830610028308,2.266296328609,0.628847558240506,3.60388825385603,0.000313491881032807,0.369763673678196
"10","gnl|Amel_4.5|GB53583-RA",17,21,4,83,46,27,37.1497072430167,-2.72740069493532,0.755234934251935,-3.61132751047438,0.000304633666336066,0.369763673678196
"11","gnl|Amel_4.5|GB44663-RA",0,3,5,15,33,38,24.1108675247491,-4.14109497364961,1.16803779676627,-3.54534329720689,0.000392102050392205,0.420440334943277
"12","gnl|Amel_4.5|GB40387-RA",810,132,261,118,21,26,150.16495385491,2.09185933471799,0.644398471839108,3.24622019780376,0.00116948344915074,0.422673500780566
"13","gnl|Amel_4.5|GB40681-RA",26,29,59,29,262,317,190.661245066921,-3.32305011941883,0.996098612704019,-3.33606540259909,0.000849731707436991,0.422673500780566
"14","gnl|Amel_4.5|GB40684-RA",20,1,7,2,69,83,47.5901246911134,-3.99324755654941,1.19579449513052,-3.33940954972665,0.000839566868385582,0.422673500780566
"15","gnl|Amel_4.5|GB41052-RA",6,0,0,28,5,21,11.1001363017931,-4.44445709799782,1.31611740451045,-3.37694576697055,0.000732955001284683,0.422673500780566
"16","gnl|Amel_4.5|GB41589-RA",1929,456,833,249,96,141,451.740010784558,1.82340356127965,0.537722576710503,3.39097452897413,0.000696445733661153,0.422673500780566
"17","gnl|Amel_4.5|GB42845-RA",1734,183,459,168,29,58,272.638742816066,2.30754458747104,0.668767315780204,3.45044462105476,0.000559663977983089,0.422673500780566
"18","gnl|Amel_4.5|GB42859-RA",805,175,359,130,42,35,185.98090128395,1.91142064394588,0.593015015847878,3.22322469560569,0.00126756079459495,0.422673500780566
"19","gnl|Amel_4.5|GB44051-RA",66,37,29,75,122,92,88.4409642798953,-2.26597072943759,0.669918198967244,-3.38245883293041,0.000718400443256006,0.422673500780566
"20","gnl|Amel_4.5|GB44298-RA",1605,161,281,136,35,39,219.028007347503,2.22440448505434,0.657538886735302,3.38292461469248,0.000717183156641567,0.422673500780566
"21","gnl|Amel_4.5|GB45055-RA",39,25,20,52,46,104,59.2295950606018,-2.30428584777913,0.711634883219598,-3.23801699735968,0.00120363638222426,0.422673500780566
"22","gnl|Amel_4.5|GB45499-RA",72,0,6,57,93,119,74.7482044347859,-3.54080358861,1.07052743151345,-3.30753186175174,0.000941220042554985,0.422673500780566
"23","gnl|Amel_4.5|GB47332-RA",186,1,23,2,0,0,16.7550485058046,5.55242101457636,1.66745238089785,3.32988280696006,0.000868825437731192,0.422673500780566
"24","gnl|Amel_4.5|GB47721-RA",78,68,42,88,197,139,134.565322949755,-2.28123278383133,0.716547488921399,-3.18364493505547,0.00145433285517789,0.422673500780566
"25","gnl|Amel_4.5|GB48406-RA",872,171,130,97,29,19,131.926427523971,1.99361296294415,0.624242826953417,3.19364977355666,0.00140486440918376,0.422673500780566
"26","gnl|Amel_4.5|GB48707-RA",229,39,57,17,5,6,36.7013253255131,2.54469369037882,0.722967594296979,3.51978942134094,0.000431889546019643,0.422673500780566
"27","gnl|Amel_4.5|GB51087-RA",938,77,149,59,19,27,120.70349885134,2.27677113684939,0.70036040324844,3.25085645374749,0.00115057934617847,0.422673500780566
"28","gnl|Amel_4.5|GB51430-RA",255,36,52,20,7,5,37.6812026330787,2.37382057481897,0.744877519025968,3.18686027458994,0.00143826237998687,0.422673500780566
"29","gnl|Amel_4.5|GB51637-RA",314,36,70,20,2,11,44.9974273509204,2.65482248952825,0.806447225495325,3.29199779675309,0.000994783910552722,0.422673500780566
"30","gnl|Amel_4.5|GB51718-RA",166,27,52,16,2,4,28.3674284408179,2.66742992203773,0.825392276169323,3.23171175579371,0.00123051113046546,0.422673500780566
"31","gnl|Amel_4.5|GB51924-RA",1481,45,363,49,4,44,191.422647767581,3.16305475150395,0.94658377749636,3.34154760170302,0.000833127294140453,0.422673500780566
"32","gnl|Amel_4.5|GB52087-RA",1207,49,162,65,16,17,133.449838540433,2.69911679577056,0.814646173032992,3.31323817028629,0.000922224102333224,0.422673500780566
"33","gnl|Amel_4.5|GB52279-RA",91,20,118,78,577,458,350.38146913126,-3.32356985271315,0.975638683799473,-3.40655809153654,0.000657875487604716,0.422673500780566
"34","gnl|Amel_4.5|GB53082-RA",170,13,31,6,0,0,19.5240550091721,4.32339344743455,1.24074184162436,3.48452297036619,0.000493015142265664,0.422673500780566
"35","gnl|Amel_4.5|GB53674-RA",296,35,66,16,4,13,43.6097725347837,2.45022080258336,0.770341881876612,3.18069270310791,0.00146923387299731,0.422673500780566
"36","gnl|Amel_4.5|GB53798-RA",16176,5336,5496,48541,5429,10698,13483.0618469759,-1.88310443849755,0.58583238012469,-3.21440825462182,0.00130713679027996,0.422673500780566
"37","gnl|Amel_4.5|GB53957-RA",381,40,109,26,7,17,61.4884334161747,2.3566177123764,0.738073399000002,3.19293137453446,0.00140836412460124,0.422673500780566
"38","gnl|Amel_4.5|GB54423-RA",3098,114,656,162,24,75,390.624325698501,2.83590357272687,0.820345589696604,3.45696205153695,0.000546301774306571,0.422673500780566
"39","gnl|Amel_4.5|GB54863-RA",3370,195,558,206,27,108,415.442879533257,2.47684065231714,0.776123761920302,3.19129599406787,0.00141636095723255,0.422673500780566
"40","gnl|Amel_4.5|GB55226-RA",3690,391,1131,312,153,127,635.519045795795,2.07708016947689,0.63595132041941,3.26609931104013,0.00109040001264787,0.422673500780566
"41","gnl|Amel_4.5|GB55384-RA",3,10,3,16,43,20,23.3868932003803,-3.28872372679495,1.02356261278747,-3.21301665937051,0.00131348670607864,0.422673500780566
"42","gnl|Amel_4.5|GB42931-RA",2247,155,402,128,67,59,297.556696233174,2.20275824251362,0.697384592205476,3.15859895262012,0.00158529480882504,0.445203625478366
"43","gnl|Amel_4.5|GB50105-RA",7129,944,895,760,161,181,958.975472987316,1.97673802709902,0.630320038801945,3.13608628222613,0.00171218822424972,0.466804222949007
"44","gnl|Amel_4.5|GB55109-RA",283,18,82,13,6,9,42.7044734034048,2.63972187731905,0.843057858848029,3.13112777446381,0.0017413637820904,0.466804222949007
"45","gnl|Amel_4.5|GB45025-RA",1413,304,246,205,42,32,229.209321437423,1.93184503733348,0.618395001621186,3.12396612564615,0.00178430997337858,0.467687469688896
"46","gnl|Amel_4.5|GB44045-RA",1004,149,140,109,12,28,137.594685509082,2.16683357807565,0.695576572591271,3.11516181461291,0.00183844026443024,0.471400063455536
"47","gnl|Amel_4.5|GB49757-RA",6687,1285,1267,1039,148,208,1090.4832857067,1.8884508028981,0.607716122628119,3.1074554920994,0.00188705398146434,0.473570249178127
"48","gnl|Amel_4.5|GB40082-RA",0,1,2,4,13,18,10.0604853948738,-4.39774251292846,1.4409137495466,-3.0520511823225,0.00227283342627003,0.510414143344916
"49","gnl|Amel_4.5|GB40463-RA",209,12,48,6,2,7,27.7460869489552,2.92863447799928,0.957086002085948,3.05994912851758,0.0022137458979427,0.510414143344916
"50","gnl|Amel_4.5|GB40800-RA",540,116,105,79,11,7,86.7866497756419,2.20836988771294,0.730728593100676,3.02214790630025,0.00250987878880925,0.510414143344916
