"","ID","C.1","C.2","C.3","T.1","T.2","T.3","baseMean","log2FoldChange","lfcSE","stat","pVal","adjPVal"
"1","gnl|Amel_4.5|GB46159-RA",20,19,10,18,373,228,144.499644300948,-4.36703673845909,0.946632520663795,-4.61323337528786,3.96452730626018e-06,0.0467576350500326
"2","gnl|Amel_4.5|GB48716-RA",64,94,9,0,1,0,18.7339091373751,6.4639310413747,1.50888976199682,4.28389880041371,1.83646468956956e-05,0.0990612501286688
"3","gnl|Amel_4.5|GB50882-RA",3,1,0,1,78,32,24.4800641543625,-5.92768081479291,1.42851332841923,-4.14954533280582,3.33136310577362e-05,0.0990612501286688
"4","gnl|Amel_4.5|GB52224-RA",21,20,9,54,162,63,63.3676980988187,-3.12196815643818,0.752715917046666,-4.14760480778384,3.35971680951904e-05,0.0990612501286688
"5","gnl|Amel_4.5|GB42227-RA",81,39,12,74,234,141,108.592135295231,-2.76612294079953,0.696260821455085,-3.97282577959611,7.10249983986998e-05,0.167533766222853
"6","gnl|Amel_4.5|GB45005-RA",46,22,2,38,145,67,58.3931122092584,-2.98864627495484,0.823351131252764,-3.629856280646,0.000283579068494722,0.557421922304458
"7","gnl|Amel_4.5|GB41700-RA",60,27,49,22,565,553,286.676908845316,-3.54712401104698,1.01203181089695,-3.50495307840495,0.000456687763493261,0.586684794330021
"8","gnl|Amel_4.5|GB46924-RA",5,1,3,4,55,31,21.1912003942537,-4.01516571014204,1.16723836960956,-3.43988495810423,0.000581961500430978,0.586684794330021
"9","gnl|Amel_4.5|GB47224-RA",4303,2679,1205,1860,14127,12231,7343.20909747516,-2.68117861580561,0.781000605756538,-3.43300452783697,0.000596932129214876,0.586684794330021
"10","gnl|Amel_4.5|GB47799-RA",1708,329,349,276,7373,3776,2774.08809616224,-3.26638421891685,0.925581350100566,-3.52900824823442,0.000417120129498379,0.586684794330021
"11","gnl|Amel_4.5|GB53833-RA",20,4,11,2,198,146,84.0356398774388,-3.95140352885514,1.14687110407757,-3.44537717866145,0.000570263056031944,0.586684794330021
"12","gnl|Amel_4.5|GB53989-RA",16,9,4,22,52,42,28.1449246905849,-2.87317102690563,0.823245646262505,-3.49005310863128,0.000482924565131679,0.586684794330021
"13","gnl|Amel_4.5|GB40663-RA",4,2,0,5,38,12,11.9506380925826,-4.25815219720938,1.28959289791247,-3.30193521079579,0.000960202464249212,0.646483564814046
"14","gnl|Amel_4.5|GB41038-RA",42,29,20,4,0,0,13.2369685407098,4.21932695348557,1.28155201320587,3.29235716538006,0.00099351349875941,0.646483564814046
"15","gnl|Amel_4.5|GB42000-RA",1582,393,141,289,2907,2846,1576.89180684862,-2.82969212491316,0.849368634024935,-3.33152415989744,0.000863718024415225,0.646483564814046
"16","gnl|Amel_4.5|GB44024-RA",16,3,6,49,10,81,34.1393879665174,-3.29258217953865,0.985625151955066,-3.34060283770919,0.000835967147360551,0.646483564814046
"17","gnl|Amel_4.5|GB48917-RA",774,284,471,203,5704,3818,2419.89038999259,-3.21550823493235,0.970042054328209,-3.31481322957613,0.000917043741544215,0.646483564814046
"18","gnl|Amel_4.5|GB49901-RA",177,22,27,18,582,354,235.540521157402,-3.23268371622027,0.985852175403476,-3.27907550125073,0.00104147767775707,0.646483564814046
"19","gnl|Amel_4.5|GB52937-RA",132,58,34,52,391,293,190.076657376298,-2.63288436140284,0.799282700704046,-3.29405898449156,0.000987517735199267,0.646483564814046
"20","gnl|Amel_4.5|GB41339-RA",109,27,17,37,344,106,117.477376630735,-2.69173602908006,0.838241941162525,-3.21116839530482,0.00132196443761215,0.779562428859887
"21","gnl|Amel_4.5|GB45198-RA",123,25,21,17,440,196,159.767226786952,-3.00986839462092,0.943117845828035,-3.19140222818956,0.0014158402152366,0.790309889932693
"22","gnl|Amel_4.5|GB53860-RA",24,8,5,3,144,50,46.448063143443,-3.36923620079572,1.0596037984571,-3.1797132151675,0.00147420871447509,0.790309889932693
"23","gnl|Amel_4.5|GB52186-RA",3,19,10,521,32,2,87.0626345721056,-3.8690176099393,1.238598682199,-3.12370557594191,0.00178589060907717,0.915773645367659
"24","gnl|Amel_4.5|GB40005-RA",12,7,25,0,92,32,36.439790777643,-1.51135011707348,1.31634847065573,-1.14813831653606,0.250911468518428,0.999963576643555
"25","gnl|Amel_4.5|GB40006-RA",32,9,232,6,1141,587,461.996095370578,-2.3099550518311,2.01547889748456,-1.14610728731225,0.25175076271013,0.999963576643555
"26","gnl|Amel_4.5|GB40007-RA",2873,4532,3558,3213,1347,1686,3063.30384404091,0.674406829857425,0.695672243723577,0.969431849469329,0.33232976780815,0.999963576643555
"27","gnl|Amel_4.5|GB40008-RA",6497,1577,332,904,3100,1653,1900.7691788836,-0.732195321974174,0.726314764242507,-1.00809643149386,0.313408170614762,0.999963576643555
"28","gnl|Amel_4.5|GB40009-RA",79357,83571,31794,52056,34211,28871,47527.8311724045,0.217143288844054,0.529519288630862,0.410076258799759,0.681750007760511,0.999963576643555
