"","ID","C.1","C.2","C.3","T.1","T.2","T.3","logFC","AveExpr","t","pVal","adjPVal","B"
"1","10083",1351,285,87,201,55,102,1.13279829488798,3.90269440410514,1.84338495715449,0.0978433805151445,0.999895351600856,-4.57322551601053
"2","10095",785,126,65,134,13,53,1.44272844165379,2.91340524652745,1.96007807834681,0.0811129247420738,0.999895351600856,-4.5751869413283
"3","101",2458,1797,4336,6153,6665,3322,-1.45624982427532,8.23735450877644,-1.79849573102671,0.105100033677736,0.999895351600856,-4.57132555819068
"4","1030",12168,1593,8852,36083,14586,19580,-2.48219632384564,9.80466243542317,-2.99765016081191,0.0147460611292036,0.999895351600856,-4.54252157499759
"5","10380",0,1,28,15,16,18,-3.45984923454022,-0.849228850537058,-2.06053772432918,0.0689167482987962,0.999895351600856,-4.58904716894231
"6","10715",50,4,10,0,0,13,2.70941707118034,-1.45765466739103,1.73824111141173,0.115625691748787,0.999895351600856,-4.59146662740297
"7","10947",12,0,17,12,27,31,-2.62804467137768,-0.257605729993922,-1.81851487841258,0.101804083899192,0.999895351600856,-4.58947045550924
"8","11173",109,49,38,81,90,127,-1.23267192611685,2.63209804751105,-1.91217482940695,0.0876256179802489,0.999895351600856,-4.57656911549068
"9","11582",1139,469,269,762,650,595,-0.889143583735831,5.58666584635143,-1.87181567427175,0.0934919849360722,0.999895351600856,-4.56678663459191
"10","1222",734,992,500,1410,778,1198,-1.16168194804666,6.1691761985423,-2.12320841601799,0.0622199913725316,0.999895351600856,-4.55806770653073
"11","1395",14370,2925,776,2305,219,758,1.54850101462362,6.95346821542451,2.20745663024262,0.0542009873712783,0.999895351600856,-4.55647267759351
"12","1505",10,36,51,42,95,43,-2.00250417665458,1.66285605923027,-1.77132236723487,0.109732222216717,0.999895351600856,-4.58351408444486
"13","1730",30457,5144,2840,3784,532,3893,1.37794973447913,8.30722690846685,1.991393214984,0.0771062338459746,0.999895351600856,-4.56548469756707
"14","1757",111,42,27,30,2,9,1.74173287350901,0.795162346998996,2.05062180727855,0.0700378501998088,0.999895351600856,-4.58485659952747
