"","ID","C.1","C.2","C.3","T.1","T.2","T.3","logFC","AveExpr","t","pVal","adjPVal","B"
"1","100",67,24,15,16,4,12,1.77993755097977,0.463771274774313,2.02108151559888,0.0732305650654959,0.99986857907279,-4.58533584707381
"2","10116",76,13,46,15,3,16,2.1319776220434,0.606018349047426,2.20628748610562,0.0540732028614135,0.99986857907279,-4.58318832652501
"3","10147",920,46,126,587,620,375,-1.19368534353877,4.61259307046112,-2.08477777949153,0.0660028517211914,0.99986857907279,-4.56210358746207
"4","1021",1339,329,212,328,54,34,2.56925059970903,3.9996869133784,3.61951942187517,0.00535481076733266,0.99986857907279,-4.53219650018132
"5","10398",176,6,8,7,4,10,2.36673702808706,-0.000118243498387133,2.09484974599833,0.0649245355860829,0.99986857907279,-4.5863124239199
"6","10648",79,45,32,14,0,31,3.20375554819923,0.492839485609411,2.33337029433116,0.0438452925112758,0.99986857907279,-4.58380287566194
"7","108",6,18,3,49,58,7,-2.34473192908741,0.233765087936109,-2.02655521887116,0.0725808776080628,0.99986857907279,-4.58577262739928
"8","1269",40,28,12,110,352,57,-2.43873544603544,2.19836647516059,-2.8797820900911,0.017743544559191,0.99986857907279,-4.5637111300488
"9","1680",83,15,13,4,4,6,2.70561637059321,-0.0980319312387355,2.89069183467076,0.0174272275613437,0.99986857907279,-4.58174571252906
"10","1783",206,10,439,2,23,29,3.43597119651704,1.48332088863099,2.13807489545869,0.0604863520877521,0.99986857907279,-4.58128892336476
"11","2627",146,44,68,415,171,115,-1.2918250254147,3.33662857153764,-2.23164814608453,0.0518615052925365,0.99986857907279,-4.56463766643626
"12","2691",184,34,53,170,182,180,-1.10442387154445,3.17957244090598,-2.10263833948622,0.0641023162678421,0.99986857907279,-4.56875901521578
"13","2986",1108,150,235,1948,1792,308,-1.33895432251508,5.5852264777775,-2.14650183514423,0.0596558931767984,0.99986857907279,-4.55787856344515
"14","3137",463,67,138,59,7,164,2.3289056866953,2.74822766848245,2.32912330537604,0.0441542248825562,0.99986857907279,-4.5677560090661
"15","3608",53,49,84,4,2,71,2.86665322236709,0.950359677064747,2.04626783591489,0.0702864446471578,0.99986857907279,-4.58424282476076
"16","3709",4387,1749,2506,1997,997,1529,1.13988983324798,7.32451611251703,2.13913472598202,0.0603812968643695,0.99986857907279,-4.55780738179198
"17","4065",72,93,119,57,0,6,3.86748375149843,0.908721785581043,2.30654821423489,0.0458326292963905,0.99986857907279,-4.58379382898962
"18","4142",6565,589,1852,1349,627,1168,1.16342149097638,6.81669141918974,2.0158010999392,0.0738625649430054,0.99986857907279,-4.5612739521593
"19","4146",287,468,711,456,110,16,2.33492775647714,4.0765902742115,2.03160491956886,0.0719863977295552,0.99986857907279,-4.56751610983918
"20","4359",438,204,347,102,45,321,1.71496891298676,3.94798991442449,2.03637950279792,0.0714285854008108,0.99986857907279,-4.56695405805027
"21","4401",115,267,576,32,4,35,3.9998885210718,2.45118190680821,2.61612057222843,0.0274453235574421,0.99986857907279,-4.57072510570601
"22","4596",469,111,96,592,2815,223,-1.84470533008065,4.8368411119801,-2.29645966279582,0.0466027915427965,0.99986857907279,-4.55560350597503
"23","4940",21,10,6,47,58,24,-1.81560837646827,0.808780442361498,-2.37728970781586,0.0407727620344893,0.99986857907279,-4.57938081975222
"24","5187",16,3,8,53,30,13,-1.77745183222881,0.274172382551895,-2.05679485167134,0.0690897408623282,0.99986857907279,-4.58528177686258
"25","5255",233,100,126,78,4,111,2.30616524774136,2.50758337372577,2.10474349668612,0.0638818069101214,0.99986857907279,-4.57397431075937
"26","5549",175,55,30,185,206,178,-1.28436840198152,3.19404410380073,-2.37353848903686,0.0410266790403082,0.99986857907279,-4.56234448193299
"27","5603",212,113,183,18,12,255,2.37092709363769,2.70112056566966,2.10620799426281,0.0637288357837998,0.99986857907279,-4.5727995665358
"28","5634",337,81,39,444,537,274,-1.70969230857081,4.04946767886261,-3.28690164721141,0.00911891804489584,0.99986857907279,-4.53510163862551
"29","589",246,71,142,31,9,195,2.12340673505858,2.56251601716279,2.07159847174978,0.0674398507254326,0.99986857907279,-4.57393307143705
"30","6077",15,9,7,92,88,16,-2.44170527263263,0.905187689319036,-2.68287417772549,0.0245711174114113,0.99986857907279,-4.57618951337003
"31","6170",9,0,9,28,15,21,-2.32628659629785,-0.502010551223607,-2.09292891981373,0.0651288657732337,0.99986857907279,-4.58763287107412
"32","6474",44,29,23,2,5,12,2.61538698322281,0.102818636970456,2.3855642802766,0.040218136038372,0.99986857907279,-4.58442440845801
"33","6748",556,120,256,27,9,119,3.40586859649503,2.87413780844091,3.79985306109574,0.00403403320559385,0.99986857907279,-4.54618089245968
"34","7324",301,20,86,56,18,26,1.74874358074811,2.01074629887995,2.33595624129298,0.0436582292841756,0.99986857907279,-4.57206977589653
"35","752",42,19,5,121,88,41,-2.05446584188809,1.53340214086507,-2.83020216381436,0.0192564258298216,0.99986857907279,-4.56967478944673
"36","7819",14,1,2,19,31,12,-2.03324076430397,-0.508309915101591,-2.08687227334408,0.0657772048375232,0.99986857907279,-4.58767861425522
"37","782",84,10,10,6,1,13,2.55419644929956,-0.249244235102851,2.30545221654696,0.0459156896035134,0.99986857907279,-4.58591490298733
"38","7821",18,6,15,95,66,25,-2.23242730770086,1.07465943103047,-2.78252648657801,0.0208349225610858,0.99986857907279,-4.57363969478281
"39","7928",6609,674,1014,10749,11638,2321,-1.77945036883044,8.07212080075676,-3.00062564465819,0.014543737922583,0.99986857907279,-4.5342835320132
"40","8205",34,9,25,4,0,13,2.7745268973284,-0.627929932947249,2.04619917891106,0.0702943142499107,0.99986857907279,-4.58893963221947
"41","8357",262,39,42,53,10,49,1.68020181366717,1.96520281877421,2.16184620229279,0.0581719686943769,0.99986857907279,-4.57522846515903
"42","8433",705,249,230,1189,1103,403,-1.02987315425332,5.42219785647731,-2.11039886695431,0.0632930332073437,0.99986857907279,-4.55889128260152
"43","8505",37,12,13,13,0,4,2.6241760121776,-0.694815754573779,2.05928611269759,0.0688094042026717,0.99986857907279,-4.58893131067571
"44","8819",562,257,406,210,125,208,1.3580535903908,4.41385059787155,2.28351833569005,0.0476093365539352,0.99986857907279,-4.55688364531376
"45","893",426,62,185,572,627,506,-1.51052273428513,4.65920236162371,-2.98543212102285,0.0149112103774188,0.99986857907279,-4.53654256551224
"46","8988",3,10,2,19,521,32,-4.2270734285922,0.522437416775278,-2.26679183478254,0.0489418759372268,0.99986857907279,-4.58457594005921
"47","9120",118,62,36,16,16,53,1.64360154560763,1.69222298401265,2.02808327660255,0.0724004930708582,0.99986857907279,-4.57918323951807
"48","930",547,196,202,115,104,222,1.24769754489281,4.00206317339788,2.10214461565005,0.0641541384348003,0.99986857907279,-4.5643378694569
"49","9331",110,12,45,138,144,97,-1.39325362717443,2.5190470230303,-2.3262266861159,0.0443661561204083,0.99986857907279,-4.56878474205624
"50","9536",7,0,6,32,23,14,-2.75178455504021,-0.613166906649875,-2.57256333956823,0.0295005655818838,0.99986857907279,-4.58475972792196
