Treatment,Day 3% mortality
None None,0.028571429
Virus Poly,0.114285714
None Poly,0.028571429
None Chestnut,0.055555556
Virus Chestnut,0.171428571
Virus Rockrose,0.257142857
Virus None,0.314285714
Virus Chestnut,0.238095238
Virus None,0.361111111
None Chestnut,0.057142857
None Chestnut,0
Virus None,0.314285714
None Chestnut,0.03125
None Poly,0.028571429
None Rockrose,0.057142857
Virus Rockrose,0.228571429
None Chestnut,0.026315789
None None,0.058823529
Virus Rockrose,0.484848485
None Poly,0.03030303
Virus Chestnut,0.171428571
None None,0
Virus Poly,0.212121212
None Poly,0.028571429
Virus Poly,0.2
Virus None,0.285714286
Virus Chestnut,0.111111111
None None,0.083333333
Virus None,0.5
Virus None,0.588235294
None None,0.057142857
Virus Rockrose,0.138888889
Virus None,0.526315789
None None,0.088235294
None Rockrose,0.028571429
Virus Poly,0.228571429
Virus Poly,0.142857143
Virus Poly,0.222222222
Virus Rockrose,0.228571429
None Rockrose,0.057142857
None Chestnut,0.085714286
None Poly,0
Virus Chestnut,0.081081081
Virus None,0.371428571
Virus Poly,0.171428571
None Poly,0.085714286
None Rockrose,0.128205128
None Rockrose,0.459459459
Virus Chestnut,0.074074074
None Rockrose,0.5
Virus Chestnut,0.212121212
None Rockrose,0.083333333
Virus Rockrose,0.142857143
Virus Chestnut,0.2
None None,0.03030303
None Rockrose,0.055555556
None Chestnut,0.029411765
Virus Rockrose,0.727272727
Virus Rockrose,0.4
None None,0.088235294
None Poly,0.058823529
Virus Poly,0.257142857
Virus Poly,0.142857143
None Rockrose,0
None None,0.324324324
Virus Rockrose,0.142857143
None Chestnut,0
Virus Poly,0.027777778
None Poly,0
None Poly,0
Virus Rockrose,0.314285714
Virus Rockrose,0.2
None Poly,0
None Rockrose,0.055555556
Virus Chestnut,0.4
None Rockrose,0
None Chestnut,0.032258065
None None,0.228571429
Virus None,0.256410256
Virus Rockrose,0.43902439
Virus Poly,0.171428571
Virus None,0.323529412
None Chestnut,0.085714286
Virus Chestnut,0.428571429
Virus Poly,0.243243243
Virus None,0.472222222
Virus Chestnut,0.142857143
None None,0
None None,0.166666667
Virus None,0.382352941
None Rockrose,0.055555556
None None,0.028571429
None Poly,0
Virus Chestnut,0.3
Virus Rockrose,0.114285714
None None,0.03030303
None Rockrose,0.171428571
Virus Rockrose,0.742857143
None Chestnut,0.114285714
Virus Poly,0.25
Virus None,0.416666667
None None,0.162162162
None Chestnut,0.108108108
None Poly,0
None Rockrose,0.057142857
Virus Rockrose,0.2
Virus Chestnut,0.4
None Chestnut,0
Virus None,0.756756757
Virus Chestnut,0.171428571
None Rockrose,0.15625
Virus Chestnut,0.1875
Virus Poly,0.305555556
None Poly,0.105263158
None Poly,0.117647059
None Chestnut,0
Virus None,0.484848485
