"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40161",13,25,12,7,10,15,7,16,6,10,10,5,0.731230665028711,0.741551766327874,2.77758226813615,0.0152006313846318,0.999902790461034,-4.46504275066799
"2","GB40303",27,33,40,27,20,41,42,74,21,57,67,60,-0.571553671960499,2.60629167407302,-2.73429893886404,0.0165323995856812,0.999902790461034,-4.35277419122122
"3","GB41202",89,73,67,17,25,54,89,154,60,117,111,35,-0.666589686827753,3.29247994560215,-2.26849728373392,0.0402339599081467,0.999902790461034,-4.37866594971276
"4","GB41240",431,629,375,162,241,289,141,497,184,343,323,175,0.53041383609296,5.46396696254494,2.35955756949862,0.0339017918545341,0.999902790461034,-4.22035420713949
"5","GB41972",24,22,14,15,11,40,22,49,25,47,37,30,-0.603067712332867,1.99862131963494,-2.66994394323165,0.0187252851477687,0.999902790461034,-4.40622051499154
"6","GB42470",18,26,19,10,17,26,28,62,11,30,40,27,-0.533129205322174,1.87706143151209,-2.32662438055284,0.0360742486633179,0.999902790461034,-4.45319498725
"7","GB42797",210,427,199,109,78,290,45,222,86,96,212,80,0.993284312016277,4.45187820058367,3.10379062867567,0.00804089706738182,0.999902790461034,-4.06138493405579
"8","GB42907",77,180,75,73,51,119,56,117,45,89,39,24,0.850791036987617,3.4235398088475,2.77642120822666,0.015234946620049,0.999902790461034,-4.26657608957663
"9","GB43298",29,21,19,15,7,6,27,40,21,40,34,37,-1.01973505338231,1.75489676702337,-2.91395134041063,0.0116558225422878,0.999902790461034,-4.39831893579522
"10","GB43513",12,40,29,14,11,13,5,20,14,3,6,8,1.32605916928104,0.912604894262416,2.6591273720496,0.0191206393265789,0.999902790461034,-4.46804566466252
"11","GB43693",32,46,20,22,13,25,7,46,8,11,18,12,0.930369101041617,1.53557377204955,2.83242513252136,0.0136631754462501,0.999902790461034,-4.41816116277807
"12","GB44134",125,153,81,71,79,141,92,128,45,107,127,67,0.376835190858749,3.8951832131502,2.40868613243989,0.0308908289608672,0.999902790461034,-4.29306781116402
"13","GB44359",89,109,99,47,58,90,78,240,53,134,162,95,-0.401411611241958,3.87105987716045,-2.3378393331098,0.0353200262489163,0.999902790461034,-4.31440428438202
"14","GB44362",62,86,38,26,55,72,85,124,40,82,112,81,-0.479734003557539,3.35785311745019,-2.31432137129739,0.036919195434258,0.999902790461034,-4.36379945993425
"15","GB44631",23,25,27,15,16,31,16,32,10,19,15,13,0.573551039032429,1.59300554857876,2.81606271486843,0.0141051788572067,0.999902790461034,-4.4146201053463
"16","GB45352",54,49,42,37,38,64,26,64,19,60,33,38,0.465304841119844,2.68902585006933,2.50457522091865,0.0257339049044425,0.999902790461034,-4.38007484240251
"17","GB45377",2414,1566,1326,1276,1105,2101,1223,2188,613,1659,1754,1172,0.408451351557973,7.80419687619667,2.5046331241136,0.025731056118614,0.999902790461034,-4.32669363728263
"18","GB45609",479,396,247,187,181,296,542,2702,802,381,1016,864,-1.48758904973567,6.24042818682058,-4.70183347132867,0.000371382771433259,0.999902790461034,-3.73931380607415
"19","GB45649",83,72,69,51,58,117,76,185,54,141,134,109,-0.440984706860766,3.778829066131,-2.9815498866889,0.0102141045867191,0.999902790461034,-4.17988566456302
"20","GB45758",797,783,842,250,335,732,1309,3970,907,925,525,719,-0.837004867637539,6.92029890432251,-2.40201709997819,0.0312840640788705,0.999902790461034,-4.29116573615053
"21","GB45882",97,101,63,47,42,132,66,54,31,80,89,56,0.528509836354352,3.3670301040955,2.32014892264085,0.0365166598916802,0.999902790461034,-4.3605339831261
"22","GB46223",5692,5421,3894,950,2730,2278,1402,5548,1195,2258,2225,444,1.01188826670549,8.42652761855518,2.29264295190474,0.0384538004608503,0.999902790461034,-4.39740455736088
"23","GB46755",10,14,12,7,13,9,14,37,9,20,17,19,-0.615968752936919,1.13242346619473,-2.30752591362845,0.0373938946880853,0.999902790461034,-4.48771649441167
"24","GB48199",334,285,243,143,166,290,230,308,126,173,250,155,0.403347159328823,5.05540804094692,2.60494144138193,0.02122632731014,0.999902790461034,-4.14525228533777
"25","GB48240",128,105,76,39,42,112,52,69,46,89,73,58,0.500649862618382,3.42629330293792,2.53112713620034,0.0244589103039168,0.999902790461034,-4.312964133412
"26","GB48304",685,620,692,491,643,809,858,1203,643,1061,1042,1271,-0.455923910844757,6.95354048560688,-2.42278390109413,0.0300750353207783,0.999902790461034,-4.2872224856164
"27","GB48476",19,14,6,7,4,10,22,23,10,21,22,12,-0.752145563371223,0.999328858291736,-2.61325862663085,0.0208891087013347,0.999902790461034,-4.4674076061581
