"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB50118",1568,1878,3323,3013,1326,2884,364,482,190,129,1030,320,3.02964829823252,6.85313431868824,6.46839851508452,1.75669255503586e-05,0.0869387145487249,3.08251668269257
"2","GB55207",24929,5448,8658,4544,9009,5517,1793,1839,807,757,1398,507,3.19771775021015,8.61691512862861,6.74534985259541,1.13064342232538e-05,0.0869387145487249,3.21740468457841
"3","GB40075",48,28,47,24,23,47,53,269,126,89,76,98,-1.29288011131505,3.01496628314327,-4.39851730739728,0.000659189511605222,0.101146383426957,-0.163730161004334
"4","GB40091",45,20,41,36,23,55,50,116,85,49,57,130,-0.812609168950546,2.79151194405072,-4.47165814349706,0.000574499887852082,0.101146383426957,-0.0528777239861933
"5","GB40450",8,8,12,11,7,11,10,36,39,34,31,44,-1.35586092787341,1.20801517389414,-4.45853061992634,0.000588829743182273,0.101146383426957,-0.294632575675807
"6","GB40647",22,11,14,22,9,43,24,82,55,38,47,77,-1.15851918013981,2.0183549831499,-4.60656580316265,0.000446505114730729,0.101146383426957,0.0720245490749081
"7","GB41075",77,28,61,33,28,78,73,195,144,101,80,125,-0.952992464604068,3.28953943481989,-4.40330821118936,0.000653266869117678,0.101146383426957,-0.144751230312403
"8","GB41078",175,86,189,200,210,195,94,131,108,98,126,155,0.848055680324887,4.24638525906929,4.90520673044472,0.000257564118076639,0.101146383426957,0.715464952059517
"9","GB41283",1007,705,1884,1018,1140,2006,384,1105,786,586,860,1373,0.951171300646036,7.03319916722705,4.74734157660356,0.000344030706279109,0.101146383426957,0.443212002071689
"10","GB42011",103,46,106,86,109,141,63,65,58,46,68,99,0.855272739287773,3.39697016725496,4.85156598095865,0.000284084736705999,0.101146383426957,0.605264155313062
"11","GB42031",82,46,67,36,49,78,79,256,168,97,99,188,-0.959625140142735,3.57389184296187,-4.60935544915231,0.000444193944872215,0.101146383426957,0.208194349240619
"12","GB42324",219,66,247,338,221,226,139,77,43,34,115,70,1.84998342866665,4.00176047178136,4.98745522147604,0.000221786113600103,0.101146383426957,0.845598037213176
"13","GB43869",9,8,7,4,5,5,15,41,36,19,12,31,-1.60186082902414,0.752716082285116,-4.60011049088194,0.0004519010275139,0.101146383426957,-0.20787354788887
"14","GB44178",47,14,38,24,20,51,59,200,137,46,63,106,-1.27598362189526,2.79478565016685,-4.38144009966705,0.000680754829076533,0.101146383426957,-0.20369907313512
"15","GB44962",16,6,18,10,5,12,27,106,61,34,30,41,-1.7681006712149,1.54989188872903,-5.25949278421924,0.000136099174406405,0.101146383426957,0.87854635714601
"16","GB46376",397,171,284,198,226,363,359,940,517,514,447,563,-0.718855388863245,5.64840415841485,-4.84041764469005,0.00028994372233537,0.101146383426957,0.604660643123401
"17","GB47411",182,118,172,149,128,264,212,377,313,301,254,411,-0.596526029208079,4.90665682599379,-5.09326735875052,0.000183205094475009,0.101146383426957,1.03218875406081
"18","GB47843",277,176,297,305,269,416,206,232,166,164,207,313,0.739733047966713,5.03213152112914,5.17742625928937,0.00015753735424895,0.101146383426957,1.17298320421429
"19","GB48159",7,2,13,7,8,4,11,36,20,21,16,31,-1.4728211945007,0.661898926143953,-4.42122031428181,0.000631605025679461,0.101146383426957,-0.467852214493155
"20","GB48400",115,79,99,135,107,141,79,86,56,64,79,118,0.798028243688299,3.65272712680106,4.48085835143982,0.000564671911285494,0.101146383426957,-0.00684367759997784
"21","GB49185",91,41,64,57,45,111,84,242,153,93,125,325,-0.93863598364532,3.73182027062499,-4.50305572812868,0.00054166783813113,0.101146383426957,0.0309101996865344
"22","GB49308",496,274,540,512,480,725,302,517,340,274,455,606,0.595866074305836,5.88892263580344,4.56057555085125,0.000486452056389911,0.101146383426957,0.121744047481363
"23","GB49376",435,240,435,354,324,654,146,452,222,175,358,326,0.8867202581674,5.41592750055021,5.54698176808565,8.21189538083935e-05,0.101146383426957,1.77845366540397
"24","GB49601",123,56,120,60,70,153,117,293,213,213,151,242,-0.794221477317691,4.16606693419902,-4.5752805358105,0.000473292493754478,0.101146383426957,0.154016372339619
"25","GB50204",119,46,113,50,56,142,99,523,298,225,178,288,-1.24409949947657,4.21126305757661,-4.69834537117117,0.000376606486287347,0.101146383426957,0.364613084988341
"26","GB50259",53,20,50,39,27,65,46,158,72,79,86,112,-0.807520684773343,2.97836820067184,-4.5029371663894,0.000541788104065319,0.101146383426957,0.00941126087540578
"27","GB50350",392,221,345,384,410,492,258,268,261,188,272,430,0.738131622922213,5.40334211311117,4.495606695206,0.000549277745411652,0.101146383426957,0.0024382629703803
