"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40916",29,29,30,20,19,31,33,9,19,13,20,12,0.66836347248007,1.69585242821121,3.31272824681148,0.00534822667324702,0.999864441911482,-4.35570679126791
"2","GB40973",412,379,227,28,236,201,17,48,23,98,100,105,2.09810143935756,3.95128299014723,2.64582830779857,0.0196370392030989,0.999864441911482,-4.25163495379299
"3","GB40996",100,82,55,49,67,71,63,21,26,30,17,28,1.31510160962728,2.78265587719513,4.26892841956957,0.000839715174813685,0.999864441911482,-4.13369022452199
"4","GB42154",17,22,21,23,12,56,25,6,16,9,13,12,0.864360717255783,1.40068434938707,2.97862758036294,0.0102862970799431,0.999864441911482,-4.41047658679071
"5","GB42799",5,7,5,2,4,7,20,5,9,4,13,15,-0.962394650051467,0.153889534288391,-2.73920635759652,0.0163934049491048,0.999864441911482,-4.49096193589508
"6","GB42858",27,26,17,5,20,34,7,1,6,4,8,18,1.65892607224381,0.741788518650542,3.14840149793348,0.00737922186653583,0.999864441911482,-4.44130758783424
"7","GB42943",20,17,16,18,8,31,16,6,17,6,19,4,0.816865579361185,1.04279716667822,2.78151083511677,0.0151019082774083,0.999864441911482,-4.44886769586614
"8","GB43191",170,98,128,62,62,122,89,37,87,58,83,49,0.705377331507531,3.63625324613987,3.52126727947071,0.00355624963334081,0.999864441911482,-4.08587777731793
"9","GB43227",78,48,60,28,40,54,51,17,31,34,17,19,0.96999387153112,2.47907093886174,3.32522049713229,0.005218951770173,0.999864441911482,-4.28194253561018
"10","GB43691",31,9,12,17,7,25,8,3,15,6,15,5,0.993090978744986,0.768250103170921,2.86145622127322,0.0129276697405425,0.999864441911482,-4.4569005177972
"11","GB43788",64,127,43,43,41,103,39,31,32,29,15,58,1.10998340454305,2.8040736310676,2.71656559667019,0.0171282799553825,0.999864441911482,-4.33696626878504
"12","GB44041",43,43,35,8,35,47,20,5,17,12,6,19,1.41217745848851,1.59141011526786,2.96973016584649,0.0104666349521919,0.999864441911482,-4.40240675224005
"13","GB44042",20,26,21,6,13,21,13,4,6,6,4,17,1.19390925547954,0.808040506926087,2.76169281928997,0.0156940394165372,0.999864441911482,-4.46326616548937
"14","GB44276",312,291,192,86,134,106,95,80,117,65,93,86,0.992339731562252,4.23188704803969,2.80468535531495,0.0144371891688887,0.999864441911482,-4.15791008002105
"15","GB44495",23,14,13,11,8,15,10,7,6,5,10,5,0.986457169858093,0.643480315766033,3.56146388137891,0.0032877429267358,0.999864441911482,-4.41601648039304
"16","GB44536",202,187,244,115,103,242,237,69,99,59,101,87,0.852888917459802,4.329188633238,4.25229447581783,0.000866679616720429,0.999864441911482,-3.81101935607468
"17","GB44567",101,67,80,43,40,69,81,25,37,38,51,38,0.633012405074261,3.01025880791889,2.95872378022849,0.0106940467954049,0.999864441911482,-4.27502032883129
"18","GB44590",129,88,89,93,85,205,134,30,47,70,87,70,0.760043357336937,3.71638310287643,2.96817983927121,0.0104983759915019,0.999864441911482,-4.18421904046268
"19","GB44968",24,14,22,15,15,37,15,6,13,11,23,13,0.706501425380923,1.33521450194828,2.68285551202582,0.0182822836896361,0.999864441911482,-4.44148006576817
"20","GB45676",138,67,83,78,49,60,98,23,46,40,40,42,0.791250551609289,3.15835416849306,3.26088811417153,0.00591988678914923,0.999864441911482,-4.2078716803862
"21","GB46784",71,51,80,48,39,98,119,56,107,60,115,91,-0.444191663349922,3.51140348540039,-2.84987862711775,0.0132223710813957,0.999864441911482,-4.23618381808393
"22","GB46816",10,9,7,12,7,15,6,5,5,5,6,2,1.06525579630497,0.152619829219182,3.21400330468871,0.00648939085160496,0.999864441911482,-4.4625071385441
"23","GB47258",211,155,193,144,105,137,187,92,134,87,132,94,0.448272223248583,4.37466139074356,2.84049492585739,0.0134660616326717,0.999864441911482,-4.12275315952822
"24","GB48232",37,36,35,16,27,34,20,7,13,13,12,16,1.22131204192926,1.6369494590147,4.33973209216899,0.000734246007487868,0.999864441911482,-4.28051310047004
"25","GB48241",570,558,442,315,436,619,534,150,293,283,389,402,0.622725980666334,5.9161661301699,2.81038480729469,0.0142781534716444,0.999864441911482,-4.09774398707053
"26","GB48489",265,163,223,189,121,322,195,88,207,118,128,180,0.538770756862435,4.73982878534373,3.23579700178843,0.00621815498576302,0.999864441911482,-3.9748844583697
"27","GB48960",172,107,127,83,121,140,100,59,56,91,56,81,0.867349009929353,3.86207118851623,3.19239571289709,0.00676997516800458,0.999864441911482,-4.11496765916399
"28","GB49273",27,14,16,13,12,24,23,5,8,9,13,7,0.809328216913501,1.03221951856606,3.03896144460004,0.00914195757212106,0.999864441911482,-4.42828610250884
"29","GB49705",1613,1016,589,921,721,582,364,283,382,587,480,551,0.987005577782368,6.54217817379912,2.81444476832661,0.0141659142017424,0.999864441911482,-4.15681972426064
"30","GB49979",34,32,13,11,18,35,7,5,9,16,15,11,1.21931124663561,1.21526677188335,2.85171220910035,0.0131752621982394,0.999864441911482,-4.43470105429591
"31","GB50250",158,195,122,78,62,125,94,74,73,61,104,59,0.688928267520476,3.85766516501244,2.68207434060078,0.0183099035267515,0.999864441911482,-4.2285314579542
"32","GB50410",14,6,12,10,9,10,10,5,9,3,5,5,0.763872048090832,0.311582576015342,2.74007903433729,0.0163657042760536,0.999864441911482,-4.48468078860156
"33","GB50454",273,153,245,320,168,222,323,113,202,117,203,112,0.468852790313017,4.88990887343194,2.63600595382068,0.0200124796883854,0.999864441911482,-4.13812031027045
"34","GB50685",40,21,22,10,10,28,17,8,15,6,20,9,0.787896223858939,1.25255092119761,2.65287588135189,0.0193718812685052,0.999864441911482,-4.44900887124698
"35","GB51590",44,21,38,46,19,56,81,29,67,37,68,49,-0.522583349865843,2.7296813207397,-2.84193200146641,0.013428457441316,0.999864441911482,-4.32157045797908
"36","GB51614",91,46,79,85,44,112,172,46,169,54,137,109,-0.487116042387254,3.73119814136613,-2.68775653854522,0.0181099211498902,0.999864441911482,-4.2438456848326
"37","GB52438",1621,1321,1281,1030,625,1155,1375,631,1022,612,876,603,0.47797490256095,7.2085746564039,2.77776526607846,0.0152121192271241,0.999864441911482,-4.22390904750998
"38","GB52719",143,58,68,64,38,68,70,40,51,42,46,32,0.651489220244457,3.11036883224891,2.7483311589812,0.0161060131613013,0.999864441911482,-4.30016784756107
"39","GB52996",38,23,55,32,23,53,45,16,24,11,32,6,0.927379628442606,2.00214499472305,2.98757413606614,0.0101080612854065,0.999864441911482,-4.36662027123632
"40","GB53374",205,172,182,109,76,138,184,76,113,74,108,50,0.632003175323445,4.14164319709231,2.93841941633129,0.0111264492272506,0.999864441911482,-4.12958989967543
"41","GB54250",100,46,48,68,25,44,31,29,44,24,48,15,0.842567648989433,2.60158721140314,2.73466892004352,0.0165381724834001,0.999864441911482,-4.35029028002488
"42","GB54538",226,116,202,81,82,241,142,65,122,63,139,83,0.624375002900709,4.18999229220004,2.98803034933934,0.0100990547824376,0.999864441911482,-4.11018288632799
"43","GB54551",129,119,106,88,46,56,65,63,52,41,55,28,0.877888505715345,3.32469029110705,2.8436984107954,0.0133823767623054,0.999864441911482,-4.2602882926313
"44","GB54642",27,21,27,28,24,60,32,3,13,16,14,26,1.02532231331048,1.68738416829604,2.89221942815576,0.0121756276816992,0.999864441911482,-4.40084880555707
"45","GB54724",174,119,123,77,92,125,134,27,105,56,69,82,0.690712866398711,3.80274892796976,3.30673986909581,0.00541133049939302,0.999864441911482,-4.09969496009459
"46","GB54900",29,18,25,18,11,17,24,7,14,7,21,6,0.700715387845254,1.22652112790367,2.67698934549405,0.0184906881535717,0.999864441911482,-4.44807042172106
"47","GB55395",423,334,361,261,205,390,459,141,186,206,291,178,0.548783718255297,5.37498093449736,3.10102452105325,0.00809650699528566,0.999864441911482,-3.98826051620497
"48","GB55469",106,114,122,78,49,116,128,21,43,52,59,66,0.819608959594766,3.45967919275988,3.37063839444624,0.00477481008491778,0.999864441911482,-4.14468498618565
"49","GB55799",38,27,18,10,32,27,7,9,7,12,12,17,1.2888487739846,1.3008838005236,2.83254055181727,0.0136760823225599,0.999864441911482,-4.43182428819578
"50","GB55831",52,42,17,6,36,33,10,5,7,9,13,10,1.55673324795948,1.25344182913215,2.89870763202443,0.0120226025051748,0.999864441911482,-4.43103922046492
