"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40118",304,337,258,233,543,621,257,140,255,223,127,527,0.945941086392406,5.18878878248005,2.990613700379,0.00982093825325678,0.999634686852681,-4.02113854934804
"2","GB40300",10,14,12,14,38,29,34,29,36,61,44,48,-0.923742922270417,1.79071242794366,-3.57068443232072,0.0031164727651972,0.999634686852681,-4.29509973035205
"3","GB40407",34,24,13,14,13,26,27,9,6,6,2,15,1.52834792936144,0.742752743531796,2.84845788868359,0.0129941754003163,0.999634686852681,-4.44355891255961
"4","GB40967",4662,787,1610,1823,1153,6447,593,643,911,809,1425,703,1.63058589533288,7.37329289205897,4.3566418925455,0.000672535520791491,0.999634686852681,-3.85743204295518
"5","GB41228",70,34,85,95,241,173,115,329,212,246,226,411,-1.01056937687181,4.28221849222945,-2.99210173857734,0.00979213704348887,0.999634686852681,-4.09398122385656
"6","GB41240",539,385,272,558,628,1856,172,237,614,490,633,470,0.817011319080878,5.9277023521764,3.23307496596485,0.00607965266273576,0.999634686852681,-3.97099286060764
"7","GB42310",892,254,19,145,738,546,797,1291,1314,4074,3778,757,-2.2829528318001,6.33745408555814,-3.34687289132044,0.00485273893153426,0.999634686852681,-4.00794075784548
"8","GB42524",34,37,19,39,75,137,90,69,102,138,126,137,-0.844230027188644,3.179528364122,-3.57075851378411,0.00311601668951594,0.999634686852681,-4.11544231380044
"9","GB42593",12,15,9,10,39,23,7,10,15,12,8,14,0.836972820703639,0.777266874175939,2.76072342860281,0.0154339639764353,0.999634686852681,-4.44688959189087
"10","GB42612",10,8,6,3,9,32,0,5,3,13,1,5,1.85813195191333,-0.524019209011462,3.10832399447646,0.00778270658272087,0.999634686852681,-4.46985187680629
"11","GB42908",40,7,17,31,17,30,9,2,6,7,4,9,2.06476415844914,0.533016119113177,4.40561807421408,0.000612319485799548,0.999634686852681,-4.3554942564809
"12","GB43292",17,8,10,14,13,12,14,27,37,33,26,21,-0.824186007244134,1.19517107215473,-3.04949289224934,0.00874279519997771,0.999634686852681,-4.39686446385452
