"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40080",49,84,39,32,38,36,24,25,25,33,34,23,0.997853629219049,2.4243299309655,3.05262259986597,0.00866175280865283,0.99987833563073,-4.30868026198334
"2","GB40150",559,820,510,411,780,630,134,613,466,702,272,636,0.840119040181761,6.25385634427607,2.77475722059225,0.0149790041897682,0.99987833563073,-4.06149500126255
"3","GB40975",51,98,41,41,77,46,16,26,19,51,62,43,1.13446468987149,2.71808832947213,2.76374676915797,0.0153058582004946,0.99987833563073,-4.32383070919462
"4","GB41616",50,55,78,37,64,31,67,161,107,111,88,91,-0.697608916999498,3.45828154037551,-3.09284074637513,0.0079988383237971,0.99987833563073,-4.17665147017379
"5","GB41946",576,572,746,459,623,380,1040,1328,1694,869,519,749,-0.549491799302812,6.80221012589444,-2.91269513434052,0.0114200063070373,0.99987833563073,-4.06621273834317
"6","GB42218",2981,3026,3860,2650,5128,3000,2688,11246,14417,6904,3216,10163,-0.726017365693092,9.51986678749115,-2.85697014467626,0.0127449788330285,0.99987833563073,-4.27407810276553
"7","GB42222",269,174,318,157,264,234,261,462,587,398,175,406,-0.364235903369083,5.45747059426501,-3.0152232112806,0.00932688301602365,0.99987833563073,-3.94657027640269
"8","GB42239",175,159,174,133,193,125,184,376,479,257,190,224,-0.495020595760148,4.98503918663244,-2.98716899699309,0.00985872132272649,0.99987833563073,-3.98138090806865
"9","GB42592",33,31,27,21,24,35,13,8,13,28,17,35,1.02773990851866,1.776234080789,2.73014035248972,0.0163470911878344,0.99987833563073,-4.4043554145447
"10","GB42868",20,29,24,16,37,12,6,14,11,19,17,15,1.04349139163921,1.40108654505966,3.11568317818871,0.0076449908417103,0.99987833563073,-4.39123445040833
"11","GB42927",41,19,38,16,39,32,11,38,29,35,10,23,0.665053760657253,1.97146801991791,2.76348931693228,0.0153135835413604,0.99987833563073,-4.38504554321728
"12","GB43314",46,24,46,18,63,46,69,150,132,75,28,123,-0.925143330446778,3.12021633677672,-3.6507010433952,0.00264821245117979,0.99987833563073,-4.13270830100413
"13","GB43392",892,858,1138,562,1040,688,663,945,1225,950,436,804,0.337602643120326,6.97574628414084,2.75245752282428,0.0156482103379624,0.99987833563073,-4.12789612033929
"14","GB44330",193,171,214,130,256,165,72,103,113,164,191,225,0.795248660045197,4.60123080999947,2.84649990518052,0.0130102471814311,0.99987833563073,-4.05518779056925
"15","GB44980",85,19,152,63,74,51,97,185,267,117,90,140,-0.856770622255333,3.84643868780133,-2.72329452687462,0.0165675015219113,0.99987833563073,-4.20813632109577
"16","GB45278",398,347,734,426,589,170,608,786,1207,1114,671,730,-0.792982690923344,6.47299090735792,-2.81058093163932,0.0139620258072306,0.99987833563073,-4.07085004117405
"17","GB45625",22,21,20,20,25,32,9,19,11,25,11,23,0.848350908039813,1.56047360673407,2.8877193626612,0.011996228763898,0.99987833563073,-4.40160679064062
"18","GB46527",35,18,38,12,22,15,31,78,56,39,20,72,-0.77836981116137,2.26995121061738,-2.89963547023739,0.0117178308008293,0.99987833563073,-4.34714827825263
"19","GB46528",268,181,220,144,194,112,267,395,356,364,149,344,-0.477517067294071,5.15588304926242,-2.8942513467567,0.0118428258958338,0.99987833563073,-3.9996822033337
"20","GB46587",146271,13379,61400,35190,36306,57254,13716,34369,27188,52103,11291,25935,1.18339759971482,12.3129988988362,2.7680193878938,0.0151782039917635,0.99987833563073,-4.40205510233933
"21","GB46978",146,101,160,108,178,104,90,171,112,196,47,93,0.520690460841462,4.18302006080887,2.72832293979555,0.016405325263195,0.99987833563073,-4.14539158334994
"22","GB47571",103,85,109,54,142,115,119,224,238,177,73,181,-0.434808581537725,4.25296130255458,-3.09950321968425,0.00789398538714701,0.99987833563073,-4.04112718508401
"23","GB48109",448,435,632,2449,224,798,75,187,243,609,394,234,1.73009494223729,5.88719537407889,2.75934062938095,0.01543859851882,0.99987833563073,-4.06284898549664
"24","GB48240",100,75,144,42,112,58,58,79,65,89,39,73,0.638449513744406,3.49600491117481,3.17176968767903,0.00684074637103944,0.99987833563073,-4.14822476679158
"25","GB48325",89,175,106,76,123,87,43,49,60,45,90,103,1.10410628657152,3.63444250578004,3.41163247717895,0.00425107212326313,0.99987833563073,-4.07891497015275
"26","GB48343",41,20,47,21,36,26,87,187,206,66,27,52,-1.22233351104083,2.95662506460335,-3.33964782085926,0.00490342415631331,0.99987833563073,-4.21056154407693
"27","GB49078",19,25,18,20,46,35,60,83,73,63,12,96,-0.901651269947056,2.54426475646379,-2.73254845014839,0.0162702401537212,0.99987833563073,-4.34687996185506
"28","GB49403",9,7,8,5,8,5,3,6,4,4,3,7,0.884954067789988,-0.133275198579269,3.06484838654724,0.00845467571649308,0.99987833563073,-4.4771715169247
"29","GB49614",135,141,167,103,175,96,239,312,348,205,121,180,-0.47018262886315,4.72388061645029,-2.74191972642782,0.0159745042975854,0.99987833563073,-4.08391477939635
"30","GB49708",142,101,21,96,84,474,16,16,12,33,68,24,2.43789821858401,2.93597462541732,3.02509648456351,0.0091465368722112,0.99987833563073,-4.27511880041066
"31","GB49858",99,141,91,72,110,96,104,41,43,39,88,96,1.04165646674202,3.61138643421756,2.74782014385688,0.0157909945712101,0.99987833563073,-4.22448766864149
"32","GB49862",5,9,4,6,5,10,15,18,24,15,13,15,-1.09501624711966,0.705109413635046,-3.34686891712085,0.00483369134802525,0.99987833563073,-4.42366652915736
"33","GB50477",51730,7533,23248,20405,17251,16029,2786,6854,7232,24618,5762,11929,1.55613009554429,10.8851635122511,3.33150217313214,0.00498329515086032,0.99987833563073,-4.27614807934531
"34","GB50866",120,97,134,76,151,88,153,297,328,205,91,185,-0.583987916123959,4.47688415656092,-4.13572161819252,0.00102315543462602,0.99987833563073,-3.74485519202021
"35","GB51172",102,70,31,30,71,72,27,37,55,43,31,29,0.939955866975723,2.81370752552612,2.98723520486794,0.00985743159411502,0.99987833563073,-4.27692144135595
"36","GB52048",14,20,15,4,14,10,3,5,2,4,9,11,1.51982240781393,0.309190188623192,3.16369118768139,0.00695118030318567,0.99987833563073,-4.45405270447363
"37","GB52184",877,106,70,205,276,433,20,51,58,17,160,90,2.61152326375095,4.05547589958016,3.60590188674845,0.00289338606479407,0.99987833563073,-4.01892984278282
"38","GB52446",202,224,225,140,213,134,294,501,520,275,140,369,-0.536747446435537,5.2324386813599,-3.05555412418993,0.00861164628098377,0.99987833563073,-3.94410435198475
"39","GB52581",39,96,37,27,27,18,11,29,24,17,16,15,1.2030073529148,1.96968483269297,3.02469207952158,0.00915385559811112,0.99987833563073,-4.3566318978419
"40","GB52716",732,220,1068,322,794,724,1197,2516,2340,1056,438,1551,-0.94648569167277,7.04644699941298,-2.96464610449256,0.0103072697467528,0.99987833563073,-4.07558984260163
"41","GB52956",166,244,199,109,215,152,120,107,111,113,127,154,0.869190909175363,4.48973816455435,3.68125393151403,0.00249315733466584,0.99987833563073,-3.83448280942534
"42","GB53347",12,15,15,16,45,6,60,129,74,27,16,66,-1.46909141121825,2.11924616912719,-3.22418127876126,0.00616550614300942,0.99987833563073,-4.32930334825403
"43","GB53459",14,17,16,12,30,14,9,13,10,18,4,19,0.814928337062298,1.09286217547395,2.89053737029907,0.0119298102576431,0.99987833563073,-4.4318523009434
"44","GB54486",510,834,1755,212,674,848,305,617,743,595,136,432,0.958555378355569,6.33807921681336,2.82198428027542,0.0136527043895186,0.99987833563073,-4.05462139553911
"45","GB55029",11323,487,865,3069,3611,6395,443,688,708,171,619,1688,2.40972239244428,7.57468099237141,3.3919347447887,0.00442040160808123,0.99987833563073,-4.02450066205512
"46","GB55235",221,140,272,182,274,238,327,620,593,316,165,367,-0.491550025544181,5.43002122973722,-2.90358196544778,0.0116270353040561,0.99987833563073,-3.9878657294219
"47","GB55393",572,586,892,463,905,382,791,1820,1835,877,490,1346,-0.556516339126881,6.95151878209592,-2.7806498660432,0.0148068854814778,0.99987833563073,-4.11774575847349
"48","GB55730",227,303,266,154,235,115,31,101,96,185,207,179,1.19381052570552,4.55678489376145,3.00921226638028,0.00943839602167543,0.99987833563073,-4.02141757332201
"49","GB55964",184,102,273,252,157,134,186,468,447,548,369,454,-0.931062367812856,5.32674669110191,-3.25433978727229,0.00580752030668394,0.99987833563073,-3.89272295573679
"50","GB55997",17,9,73,12,20,30,36,104,166,50,46,49,-1.32767326920942,2.51687648388535,-3.19033148290953,0.00659357513664767,0.99987833563073,-4.2901010712666
