"","Method","Type","Cluster","PVal","Response"
"5","Raw","tolerance",1,4.14e-13,"IAPV"
"6","Raw","tolerance",2,4.14e-13,"IAPV"
"29","Log","tolerance",1,4.54e-12,"IAPV"
"30","Log","tolerance",2,4.14e-11,"IAPV"
"25","Log","virus",1,1.19e-10,"IAPV"
"65","BLN","tolerance",1,3.77e-10,"SBV"
"89","Standardize","tolerance",1,3.77e-10,"SBV"
"33","Log","resistance",1,5.56e-10,"IAPV"
"34","Log","resistance",2,6.43e-10,"IAPV"
"18","BLN","tolerance",2,2.42e-09,"IAPV"
"42","Standardize","tolerance",2,2.42e-09,"IAPV"
"9","Raw","resistance",1,3.63e-09,"IAPV"
"35","Log","resistance",3,5.46e-09,"IAPV"
"1","Raw","virus",1,9.75e-09,"IAPV"
"10","Raw","resistance",2,3.81e-08,"IAPV"
"11","Raw","resistance",3,6.73e-08,"IAPV"
"36","Log","resistance",4,6.8e-07,"IAPV"
"17","BLN","tolerance",1,8.9e-07,"IAPV"
"41","Standardize","tolerance",1,8.9e-07,"IAPV"
"53","Raw","tolerance",1,8.9e-07,"SBV"
"12","Raw","resistance",4,1.4e-06,"IAPV"
"22","BLN","resistance",2,1.45e-06,"IAPV"
"46","Standardize","resistance",2,1.45e-06,"IAPV"
"72","BLN","resistance",4,3.67e-06,"SBV"
"96","Standardize","resistance",4,3.67e-06,"SBV"
"21","BLN","resistance",1,8.4e-06,"IAPV"
"45","Standardize","resistance",1,8.4e-06,"IAPV"
"23","BLN","resistance",3,1.16e-05,"IAPV"
"47","Standardize","resistance",3,1.16e-05,"IAPV"
"73","Log","virus",1,1.4e-05,"SBV"
"80","Log","tolerance",4,2.58e-05,"SBV"
"109","BLN","virus",1,7.16e-05,"Mort"
"133","Standardize","virus",1,7.16e-05,"Mort"
"2","Raw","virus",2,9.12e-05,"IAPV"
"7","Raw","tolerance",3,0.000139,"IAPV"
"8","Raw","tolerance",4,0.000164,"IAPV"
"14","BLN","virus",2,0.00024,"IAPV"
"38","Standardize","virus",2,0.00024,"IAPV"
"26","Log","virus",2,0.000276,"IAPV"
"31","Log","tolerance",3,0.000321,"IAPV"
"13","BLN","virus",1,0.000376,"IAPV"
"37","Standardize","virus",1,0.000376,"IAPV"
"110","BLN","virus",2,0.000395,"Mort"
"134","Standardize","virus",2,0.000395,"Mort"
"101","Raw","tolerance",1,0.000675,"Mort"
"104","Raw","tolerance",4,0.000675,"Mort"
"102","Raw","tolerance",2,0.000832,"Mort"
"32","Log","tolerance",4,0.000904,"IAPV"
"128","Log","tolerance",4,0.000906,"Mort"
"126","Log","tolerance",2,0.000912,"Mort"
"74","Log","virus",2,0.00102,"SBV"
"54","Raw","tolerance",2,0.00481,"SBV"
"24","BLN","resistance",4,0.00543,"IAPV"
"48","Standardize","resistance",4,0.00543,"IAPV"
"60","Raw","resistance",4,0.00549,"SBV"
"98","Raw","virus",2,0.00751,"Mort"
"49","Raw","virus",1,0.011,"SBV"
"84","Log","resistance",4,0.0147,"SBV"
"112","BLN","virus",4,0.0163,"Mort"
"136","Standardize","virus",4,0.0163,"Mort"
"127","Log","tolerance",3,0.0168,"Mort"
"66","BLN","tolerance",2,0.0174,"SBV"
"90","Standardize","tolerance",2,0.0174,"SBV"
"3","Raw","virus",3,0.0192,"IAPV"
"103","Raw","tolerance",3,0.0194,"Mort"
"27","Log","virus",3,0.0274,"IAPV"
"77","Log","tolerance",1,0.0294,"SBV"
"68","BLN","tolerance",4,0.0303,"SBV"
"92","Standardize","tolerance",4,0.0303,"SBV"
"116","BLN","tolerance",4,0.0343,"Mort"
"140","Standardize","tolerance",4,0.0343,"Mort"
"125","Log","tolerance",1,0.0433,"Mort"
"20","BLN","tolerance",4,0.0492,"IAPV"
"44","Standardize","tolerance",4,0.0492,"IAPV"
"76","Log","virus",4,0.0531,"SBV"
"122","Log","virus",2,0.0556,"Mort"
"100","Raw","virus",4,0.0648,"Mort"
"115","BLN","tolerance",3,0.0696,"Mort"
"139","Standardize","tolerance",3,0.0696,"Mort"
"55","Raw","tolerance",3,0.0714,"SBV"
"50","Raw","virus",2,0.0795,"SBV"
"16","BLN","virus",4,0.0912,"IAPV"
"40","Standardize","virus",4,0.0912,"IAPV"
"28","Log","virus",4,0.0977,"IAPV"
"4","Raw","virus",4,0.1,"IAPV"
"56","Raw","tolerance",4,0.11,"SBV"
"97","Raw","virus",1,0.112,"Mort"
"111","BLN","virus",3,0.132,"Mort"
"135","Standardize","virus",3,0.132,"Mort"
"105","Raw","resistance",1,0.144,"Mort"
"108","Raw","resistance",4,0.144,"Mort"
"106","Raw","resistance",2,0.151,"Mort"
"70","BLN","resistance",2,0.194,"SBV"
"94","Standardize","resistance",2,0.194,"SBV"
"119","BLN","resistance",3,0.194,"Mort"
"143","Standardize","resistance",3,0.194,"Mort"
"124","Log","virus",4,0.212,"Mort"
"15","BLN","virus",3,0.233,"IAPV"
"39","Standardize","virus",3,0.233,"IAPV"
"99","Raw","virus",3,0.236,"Mort"
"19","BLN","tolerance",3,0.249,"IAPV"
"43","Standardize","tolerance",3,0.249,"IAPV"
"61","BLN","virus",1,0.265,"SBV"
"63","BLN","virus",3,0.265,"SBV"
"85","Standardize","virus",1,0.265,"SBV"
"87","Standardize","virus",3,0.265,"SBV"
"113","BLN","tolerance",1,0.286,"Mort"
"137","Standardize","tolerance",1,0.286,"Mort"
"121","Log","virus",1,0.288,"Mort"
"120","BLN","resistance",4,0.346,"Mort"
"144","Standardize","resistance",4,0.346,"Mort"
"71","BLN","resistance",3,0.37,"SBV"
"95","Standardize","resistance",3,0.37,"SBV"
"81","Log","resistance",1,0.439,"SBV"
"117","BLN","resistance",1,0.468,"Mort"
"141","Standardize","resistance",1,0.468,"Mort"
"62","BLN","virus",2,0.474,"SBV"
"86","Standardize","virus",2,0.474,"SBV"
"132","Log","resistance",4,0.474,"Mort"
"114","BLN","tolerance",2,0.496,"Mort"
"138","Standardize","tolerance",2,0.496,"Mort"
"64","BLN","virus",4,0.532,"SBV"
"88","Standardize","virus",4,0.532,"SBV"
"51","Raw","virus",3,0.574,"SBV"
"75","Log","virus",3,0.635,"SBV"
"118","BLN","resistance",2,0.638,"Mort"
"142","Standardize","resistance",2,0.638,"Mort"
"52","Raw","virus",4,0.66,"SBV"
"67","BLN","tolerance",3,0.661,"SBV"
"91","Standardize","tolerance",3,0.661,"SBV"
"83","Log","resistance",3,0.703,"SBV"
"130","Log","resistance",2,0.709,"Mort"
"107","Raw","resistance",3,0.774,"Mort"
"123","Log","virus",3,0.802,"Mort"
"129","Log","resistance",1,0.838,"Mort"
"131","Log","resistance",3,0.857,"Mort"
"79","Log","tolerance",3,0.881,"SBV"
"69","BLN","resistance",1,0.917,"SBV"
"93","Standardize","resistance",1,0.917,"SBV"
"57","Raw","resistance",1,0.948,"SBV"
"59","Raw","resistance",3,0.948,"SBV"
"58","Raw","resistance",2,0.954,"SBV"
"82","Log","resistance",2,0.959,"SBV"
"78","Log","tolerance",2,0.984,"SBV"
