"","Method","Type","Cluster","PVal","Response"
"5","Raw","tolerance",1,4.14e-13,"IAPV"
"6","Raw","tolerance",2,4.14e-13,"IAPV"
"29","Log","tolerance",1,4.54e-12,"IAPV"
"30","Log","tolerance",2,4.14e-11,"IAPV"
"25","Log","virus",1,1.19e-10,"IAPV"
"33","Log","resistance",1,5.56e-10,"IAPV"
"34","Log","resistance",2,6.43e-10,"IAPV"
"18","BLN","tolerance",2,2.42e-09,"IAPV"
"42","Standardize","tolerance",2,2.42e-09,"IAPV"
"9","Raw","resistance",1,3.63e-09,"IAPV"
"35","Log","resistance",3,5.46e-09,"IAPV"
"1","Raw","virus",1,9.75e-09,"IAPV"
"10","Raw","resistance",2,3.81e-08,"IAPV"
"11","Raw","resistance",3,6.73e-08,"IAPV"
"36","Log","resistance",4,6.8e-07,"IAPV"
"17","BLN","tolerance",1,8.9e-07,"IAPV"
"41","Standardize","tolerance",1,8.9e-07,"IAPV"
"12","Raw","resistance",4,1.4e-06,"IAPV"
"22","BLN","resistance",2,1.45e-06,"IAPV"
"46","Standardize","resistance",2,1.45e-06,"IAPV"
"21","BLN","resistance",1,8.4e-06,"IAPV"
"45","Standardize","resistance",1,8.4e-06,"IAPV"
"23","BLN","resistance",3,1.16e-05,"IAPV"
"47","Standardize","resistance",3,1.16e-05,"IAPV"
"2","Raw","virus",2,9.12e-05,"IAPV"
"7","Raw","tolerance",3,0.000139,"IAPV"
"8","Raw","tolerance",4,0.000164,"IAPV"
"14","BLN","virus",2,0.00024,"IAPV"
"38","Standardize","virus",2,0.00024,"IAPV"
"26","Log","virus",2,0.000276,"IAPV"
"31","Log","tolerance",3,0.000321,"IAPV"
"13","BLN","virus",1,0.000376,"IAPV"
"37","Standardize","virus",1,0.000376,"IAPV"
"32","Log","tolerance",4,0.000904,"IAPV"
"24","BLN","resistance",4,0.00543,"IAPV"
"48","Standardize","resistance",4,0.00543,"IAPV"
"3","Raw","virus",3,0.0192,"IAPV"
"27","Log","virus",3,0.0274,"IAPV"
"20","BLN","tolerance",4,0.0492,"IAPV"
"44","Standardize","tolerance",4,0.0492,"IAPV"
"16","BLN","virus",4,0.0912,"IAPV"
"40","Standardize","virus",4,0.0912,"IAPV"
"28","Log","virus",4,0.0977,"IAPV"
"4","Raw","virus",4,0.1,"IAPV"
"15","BLN","virus",3,0.233,"IAPV"
"39","Standardize","virus",3,0.233,"IAPV"
"19","BLN","tolerance",3,0.249,"IAPV"
"43","Standardize","tolerance",3,0.249,"IAPV"
