"","Method","Type","Cluster","PVal","Response"
"13","BLN","virus",1,7.16e-05,"Mort"
"37","Standardize","virus",1,7.16e-05,"Mort"
"14","BLN","virus",2,0.000395,"Mort"
"38","Standardize","virus",2,0.000395,"Mort"
"5","Raw","tolerance",1,0.000675,"Mort"
"8","Raw","tolerance",4,0.000675,"Mort"
"6","Raw","tolerance",2,0.000832,"Mort"
"32","Log","tolerance",4,0.000906,"Mort"
"30","Log","tolerance",2,0.000912,"Mort"
"2","Raw","virus",2,0.00751,"Mort"
"16","BLN","virus",4,0.0163,"Mort"
"40","Standardize","virus",4,0.0163,"Mort"
"31","Log","tolerance",3,0.0168,"Mort"
"7","Raw","tolerance",3,0.0194,"Mort"
"20","BLN","tolerance",4,0.0343,"Mort"
"44","Standardize","tolerance",4,0.0343,"Mort"
"29","Log","tolerance",1,0.0433,"Mort"
"26","Log","virus",2,0.0556,"Mort"
"4","Raw","virus",4,0.0648,"Mort"
"19","BLN","tolerance",3,0.0696,"Mort"
"43","Standardize","tolerance",3,0.0696,"Mort"
"1","Raw","virus",1,0.112,"Mort"
"15","BLN","virus",3,0.132,"Mort"
"39","Standardize","virus",3,0.132,"Mort"
"9","Raw","resistance",1,0.144,"Mort"
"12","Raw","resistance",4,0.144,"Mort"
"10","Raw","resistance",2,0.151,"Mort"
"23","BLN","resistance",3,0.194,"Mort"
"47","Standardize","resistance",3,0.194,"Mort"
"28","Log","virus",4,0.212,"Mort"
"3","Raw","virus",3,0.236,"Mort"
"17","BLN","tolerance",1,0.286,"Mort"
"41","Standardize","tolerance",1,0.286,"Mort"
"25","Log","virus",1,0.288,"Mort"
"24","BLN","resistance",4,0.346,"Mort"
"48","Standardize","resistance",4,0.346,"Mort"
"21","BLN","resistance",1,0.468,"Mort"
"45","Standardize","resistance",1,0.468,"Mort"
"36","Log","resistance",4,0.474,"Mort"
"18","BLN","tolerance",2,0.496,"Mort"
"42","Standardize","tolerance",2,0.496,"Mort"
"22","BLN","resistance",2,0.638,"Mort"
"46","Standardize","resistance",2,0.638,"Mort"
"34","Log","resistance",2,0.709,"Mort"
"11","Raw","resistance",3,0.774,"Mort"
"27","Log","virus",3,0.802,"Mort"
"33","Log","resistance",1,0.838,"Mort"
"35","Log","resistance",3,0.857,"Mort"
