"","Method","Type","Cluster","PVal","Response"
"17","BLN","tolerance",1,3.77e-10,"SBV"
"41","Standardize","tolerance",1,3.77e-10,"SBV"
"5","Raw","tolerance",1,8.9e-07,"SBV"
"24","BLN","resistance",4,3.67e-06,"SBV"
"48","Standardize","resistance",4,3.67e-06,"SBV"
"25","Log","virus",1,1.4e-05,"SBV"
"32","Log","tolerance",4,2.58e-05,"SBV"
"26","Log","virus",2,0.00102,"SBV"
"6","Raw","tolerance",2,0.00481,"SBV"
"12","Raw","resistance",4,0.00549,"SBV"
"1","Raw","virus",1,0.011,"SBV"
"36","Log","resistance",4,0.0147,"SBV"
"18","BLN","tolerance",2,0.0174,"SBV"
"42","Standardize","tolerance",2,0.0174,"SBV"
"29","Log","tolerance",1,0.0294,"SBV"
"20","BLN","tolerance",4,0.0303,"SBV"
"44","Standardize","tolerance",4,0.0303,"SBV"
"28","Log","virus",4,0.0531,"SBV"
"7","Raw","tolerance",3,0.0714,"SBV"
"2","Raw","virus",2,0.0795,"SBV"
"8","Raw","tolerance",4,0.11,"SBV"
"22","BLN","resistance",2,0.194,"SBV"
"46","Standardize","resistance",2,0.194,"SBV"
"13","BLN","virus",1,0.265,"SBV"
"15","BLN","virus",3,0.265,"SBV"
"37","Standardize","virus",1,0.265,"SBV"
"39","Standardize","virus",3,0.265,"SBV"
"23","BLN","resistance",3,0.37,"SBV"
"47","Standardize","resistance",3,0.37,"SBV"
"33","Log","resistance",1,0.439,"SBV"
"14","BLN","virus",2,0.474,"SBV"
"38","Standardize","virus",2,0.474,"SBV"
"16","BLN","virus",4,0.532,"SBV"
"40","Standardize","virus",4,0.532,"SBV"
"3","Raw","virus",3,0.574,"SBV"
"27","Log","virus",3,0.635,"SBV"
"4","Raw","virus",4,0.66,"SBV"
"19","BLN","tolerance",3,0.661,"SBV"
"43","Standardize","tolerance",3,0.661,"SBV"
"35","Log","resistance",3,0.703,"SBV"
"31","Log","tolerance",3,0.881,"SBV"
"21","BLN","resistance",1,0.917,"SBV"
"45","Standardize","resistance",1,0.917,"SBV"
"9","Raw","resistance",1,0.948,"SBV"
"11","Raw","resistance",3,0.948,"SBV"
"10","Raw","resistance",2,0.954,"SBV"
"34","Log","resistance",2,0.959,"SBV"
"30","Log","tolerance",2,0.984,"SBV"
