"","ID","C.1","C.2","C.3","T.1","T.2","T.3","logFC","AveExpr","t","pVal","adjPVal","B"
"1","101",2458,1797,3322,6153,6665,4336,-2.0230030475263,8.23735450877644,-3.18125108593961,0.011862428684388,0.866411014522783,-4.51745245555238
"2","10163",16176,5336,5496,48541,5429,10698,-1.65274665107114,9.73749562341822,-3.08517006304053,0.013793331369032,0.866411014522783,-4.52742248672359
"3","10171",248,727,161,796,712,628,-2.07551176939054,5.2480120184091,-2.9985566329888,0.015813540267776,0.866411014522783,-4.52073914864088
"4","10621",20403,4561,2328,3330,552,595,1.69202227811263,7.66084146758838,3.04589255160425,0.014674122725338,0.866411014522783,-4.52009861819052
"5","10799",353,75,60,44,2,5,2.70890297447481,1.3597763520696,3.00073020918832,0.0157592668677226,0.866411014522783,-4.57273270655729
"6","10899",2271,2110,771,3329,1874,1689,-1.33277623808613,7.22646870122862,-3.01991789984286,0.0152884297661178,0.866411014522783,-4.51807193589064
"7","1121",1929,456,833,249,96,141,1.76091878024288,4.90504377324443,3.55647884072297,0.00664573099411025,0.866411014522783,-4.5130890038565
"8","11534",43,69,22,125,106,63,-2.08488732056424,2.33790101872803,-3.19449080156313,0.0116192878673345,0.866411014522783,-4.54930723452279
"9","1170",6,54,9,94,53,46,-3.25866154327798,1.30635839410155,-3.35884352934041,0.00899919429367678,0.866411014522783,-4.56338279420878
"10","1315",10608,2865,2067,2031,491,422,1.56510653711438,7.13368187117918,3.40886726477072,0.00833079976086794,0.866411014522783,-4.5081068888835
"11","1740",90,124,119,302,212,215,-2.05274607972226,3.72718327265427,-3.34375977410278,0.00921159140538985,0.866411014522783,-4.5268946234227
"12","194",2145,364,531,337,50,111,1.69267931821545,4.6278974554557,2.98608421361564,0.016128727737261,0.866411014522783,-4.53002585830203
"13","1972",42,18,16,114,48,75,-2.5008870389421,1.76991506287529,-4.40891792446149,0.00190824322311389,0.866411014522783,-4.54553225643731
"14","2055",17,4,2,47,25,21,-2.98990630445686,0.0947354007994428,-3.59124938742232,0.00630369939036644,0.866411014522783,-4.57522063948688
"15","2104",805,175,359,130,42,35,1.79428787853878,3.57744843303003,3.09948339460582,0.0134861457158966,0.866411014522783,-4.53895203535105
"16","2564",347,104,332,560,463,381,-1.88545436653162,4.72778412581054,-3.12684484066677,0.0129185309438843,0.866411014522783,-4.5205086297174
"17","2568",0,0,8,41,14,11,-4.76729439260165,-1.31287069828345,-3.44174654927957,0.00792002318864248,0.866411014522783,-4.58229740875748
"18","263",810,132,261,118,21,26,1.97323829638423,3.17747385098268,3.00687156543375,0.0156069574659351,0.866411014522783,-4.54710995893155
"19","2918",1004,149,140,109,12,28,2.10062194326609,2.97682561553507,2.96737169560317,0.0166138265436197,0.866411014522783,-4.5511650970931
"20","2969",479,543,239,677,530,854,-1.6087011852718,5.39472640352187,-2.96691002286563,0.0166259834292296,0.866411014522783,-4.52022455049843
"21","3021",15,78,71,202,125,145,-2.98023960148933,2.7509359962009,-3.19159663317474,0.0116719908349127,0.866411014522783,-4.54509913501007
"22","3372",11,44,6,79,55,24,-2.69676170968379,1.11674572623861,-3.03973185312456,0.0148174749546306,0.866411014522783,-4.56787078274397
"23","3697",1413,304,246,205,42,32,1.9432396518772,3.84238039024679,3.39357333949763,0.0085294397182112,0.866411014522783,-4.53023311852865
"24","4085",632,53,61,18,2,2,3.80790334312118,1.0201572172072,2.99676342554066,0.0158584613948249,0.866411014522783,-4.57825385868296
"25","4146",287,110,16,456,468,711,-3.3810843903322,4.0765902742115,-4.48274190481771,0.00172117568100357,0.866411014522783,-4.50768070231376
"26","4463",25,24,21,57,45,50,-2.01821589543962,1.50060445020019,-2.96335114807584,0.0167200052815385,0.866411014522783,-4.56323973209859
"27","4904",5219,1118,1299,941,251,200,1.58452099771378,6.10003454043031,3.31123419211356,0.00968765385687614,0.866411014522783,-4.51135250456925
"28","5115",2445,2165,820,3456,1886,1760,-1.29617253476494,7.28564173723616,-2.99835218458904,0.0158186551982308,0.866411014522783,-4.51892366519878
"29","5384",8217,1163,1766,975,175,444,1.73809618631916,6.40591880725408,3.11796955226242,0.0130998793392976,0.866411014522783,-4.51665191544342
"30","565",540,116,105,79,11,7,2.2837217464199,2.28091703909391,3.09342474878212,0.0136152977202122,0.866411014522783,-4.5595007631567
"31","6134",5185,1408,958,943,222,207,1.58019224531019,6.06001403420543,3.44997894259769,0.00782054050986082,0.866411014522783,-4.50775016395993
"32","6176",872,171,130,97,29,19,1.97114569606798,3.04551470872181,3.22193945507869,0.011131604739293,0.866411014522783,-4.54454885339823
"33","6191",2249,574,539,400,128,75,1.62746016484771,4.92424153185972,3.32845958941789,0.00943240711809857,0.866411014522783,-4.5179932335264
"34","6238",9,80,5,112,220,44,-3.6907758384487,1.73185934407565,-3.1511945456935,0.0124342697926231,0.866411014522783,-4.56274715444309
"35","6252",39,102,19,169,102,105,-2.40920424383722,2.55885240073521,-3.48222253300463,0.00744337198205019,0.866411014522783,-4.54223758085563
"36","6400",229,39,57,17,5,6,2.41801246073415,1.09325101379602,2.95530692790455,0.0169345520632119,0.866411014522783,-4.57368304640113
"37","6774",360,70,94,14,14,7,2.85446263618926,1.68287206637364,3.73694557483148,0.0050603509758038,0.866411014522783,-4.5616104430874
"38","6872",550,646,237,2172,421,536,-1.67839507305674,5.5805972077518,-3.34607142163564,0.00917870288130949,0.866411014522783,-4.50814131920102
"39","71",4322,1465,1660,1253,240,407,1.30169194577148,6.40720928482696,2.97655687270865,0.016373857671551,0.866411014522783,-4.51986848946421
"40","7163",6687,1285,1267,1039,148,208,1.91240462518591,6.09362708690148,3.5534612830041,0.00667632346522155,0.866411014522783,-4.50630354583249
"41","7196",1032,1465,873,1992,2024,2246,-1.76191122303174,6.94261251358472,-2.9947085739291,0.0159100990516252,0.866411014522783,-4.51826593781932
"42","7425",3601,786,888,695,198,124,1.53100500268776,5.59042458844445,3.03418145006882,0.0149478678231541,0.866411014522783,-4.52125214836061
"43","7445",7129,944,895,760,161,181,1.80874614919783,5.86304881872158,3.20926678017928,0.0113540545639165,0.866411014522783,-4.51596003676757
"44","7688",23,186,10,226,68,143,-2.84158971079654,2.47582915515193,-3.00398504331333,0.0156783545747671,0.866411014522783,-4.55247200284234
"45","7981",180,542,44,884,398,255,-2.30219550437467,4.45968868322024,-3.05902449716837,0.014373331163694,0.866411014522783,-4.5258408631857
"46","8088",5240,954,1065,809,257,178,1.53168679665279,5.95653862661738,3.07410314435967,0.0140358147021271,0.866411014522783,-4.51848551369042
"47","8595",477,98,90,41,16,10,2.25405033518649,2.18528936491072,3.44769488028358,0.00784800946058425,0.866411014522783,-4.55511386553784
"48","9229",205,591,67,1055,405,370,-2.28443789476168,4.74789563757667,-3.31268969326851,0.00966580919120847,0.866411014522783,-4.516179746783
"49","953",1641,388,295,251,62,27,2.01139622414991,4.08164555294466,3.32094570851087,0.00954287160686792,0.866411014522783,-4.52912266330017
"50","9997",17,21,4,83,46,27,-2.83572368195839,0.951404362785599,-3.79165777632548,0.00466300822499589,0.866411014522783,-4.56397112733124
