"","ID","C.1","C.2","C.3","T.1","T.2","T.3","baseMean","log2FoldChange","lfcSE","stat","pVal","adjPVal"
"1","gnl|Amel_4.5|GB46159-RA",20,19,10,18,373,228,144.499644300948,-4.36705701536675,0.946319599310704,-4.61478026931673,3.93511418670225e-06,0.0464107367179664
"2","gnl|Amel_4.5|GB48716-RA",64,94,9,0,1,0,18.7339091373751,6.4639264878981,1.50904018803985,4.28346874995711,1.84001952285682e-05,0.0993566175997377
"3","gnl|Amel_4.5|GB50882-RA",3,1,0,1,78,32,24.4800641543625,-5.92762760386448,1.42819997954395,-4.15041849094359,3.31867936275009e-05,0.0993566175997377
"4","gnl|Amel_4.5|GB52224-RA",21,20,9,54,162,63,63.3676980988187,-3.12195658897353,0.752836897543085,-4.14692292468949,3.36973435983509e-05,0.0993566175997377
"5","gnl|Amel_4.5|GB42227-RA",81,39,12,74,234,141,108.592135295231,-2.76612632326173,0.696356819973057,-3.97228295023915,7.11870905530501e-05,0.167916109196535
"6","gnl|Amel_4.5|GB45005-RA",46,22,2,38,145,67,58.3931122092584,-2.98864614071881,0.82335011767694,-3.62986058610302,0.000283574338561451,0.557412624832292
"7","gnl|Amel_4.5|GB41700-RA",60,27,49,22,565,553,286.676908845316,-3.54714214344726,1.01156202191286,-3.50659877161028,0.000453872954294471,0.584640871340571
"8","gnl|Amel_4.5|GB46924-RA",5,1,3,4,55,31,21.1912003942537,-4.0151842961038,1.16716972823889,-3.44010318204723,0.000581492451945456,0.584640871340571
"9","gnl|Amel_4.5|GB47224-RA",4303,2679,1205,1860,14127,12231,7343.20909747516,-2.68117867054009,0.780785442513622,-3.43395064066312,0.000594852506027374,0.584640871340571
"10","gnl|Amel_4.5|GB47799-RA",1708,329,349,276,7373,3776,2774.08809616224,-3.26638449140463,0.925174225127634,-3.53056149067923,0.000414678613610845,0.584640871340571
"11","gnl|Amel_4.5|GB53833-RA",20,4,11,2,198,146,84.0356398774388,-3.95145515124699,1.14633342465936,-3.44703824057227,0.000566768352691453,0.584640871340571
"12","gnl|Amel_4.5|GB53989-RA",16,9,4,22,52,42,28.1449246905849,-2.87316377866825,0.823559060299085,-3.4887161312084,0.000485346274538862,0.584640871340571
"13","gnl|Amel_4.5|GB40663-RA",4,2,0,5,38,12,11.9506380925826,-4.25820005141811,1.28983075557427,-3.30136340214824,0.000962161728683036,0.643220723010721
"14","gnl|Amel_4.5|GB41038-RA",42,29,20,4,0,0,13.2369685407098,4.21942192136769,1.28190197311798,3.29153243372015,0.000996431260272559,0.643220723010721
"15","gnl|Amel_4.5|GB42000-RA",1582,393,141,289,2907,2846,1576.89180684862,-2.82969105634176,0.849068106694243,-3.33270209307339,0.000860069813367618,0.643220723010721
"16","gnl|Amel_4.5|GB44024-RA",16,3,6,49,10,81,34.1393879665174,-3.29259872909152,0.985493255177201,-3.34106673160282,0.000834571614867572,0.643220723010721
"17","gnl|Amel_4.5|GB48917-RA",774,284,471,203,5704,3818,2419.89038999259,-3.21550992253255,0.969581161082093,-3.31639067630388,0.000911882566103756,0.643220723010721
"18","gnl|Amel_4.5|GB49901-RA",177,22,27,18,582,354,235.540521157402,-3.23268284587856,0.985422891451481,-3.28050309559682,0.00103622127668337,0.643220723010721
"19","gnl|Amel_4.5|GB52937-RA",132,58,34,52,391,293,190.076657376298,-2.63288593646364,0.79912387621157,-3.29471564401935,0.00098521319633433,0.643220723010721
"20","gnl|Amel_4.5|GB41339-RA",109,27,17,37,344,106,117.477376630735,-2.69173471073421,0.838078378314948,-3.21179352717134,0.00131909140988546,0.777868204409455
"21","gnl|Amel_4.5|GB45198-RA",123,25,21,17,440,196,159.767226786952,-3.00986821331091,0.942734071932498,-3.19270121121328,0.00140948707541592,0.787931234452081
"22","gnl|Amel_4.5|GB53860-RA",24,8,5,3,144,50,46.448063143443,-3.36923897197504,1.05931368110019,-3.18058666860205,0.00146977167694979,0.787931234452081
"23","gnl|Amel_4.5|GB52186-RA",3,19,10,521,32,2,87.0626345721056,-3.86906487484244,1.23794594372787,-3.12539080922336,0.00177568978754338,0.910542841490724
"24","gnl|Amel_4.5|GB40005-RA",12,7,25,0,92,32,36.439790777643,-1.51139141383073,1.31566111205308,-1.14876954253989,0.250651021513467,0.999974819680144
"25","gnl|Amel_4.5|GB40006-RA",32,9,232,6,1141,587,461.996095370578,-2.3099550518311,2.01547889748456,-1.14610728731225,0.25175076271013,0.999974819680144
"26","gnl|Amel_4.5|GB40007-RA",2873,4532,3558,3213,1347,1686,3063.30384404091,0.674406727462991,0.695591127472895,0.969544752408118,0.332273462806788,0.999974819680144
"27","gnl|Amel_4.5|GB40008-RA",6497,1577,332,904,3100,1653,1900.7691788836,-0.73219513847336,0.726245398483763,-1.00819246497399,0.313362074534704,0.999974819680144
"28","gnl|Amel_4.5|GB40009-RA",79357,83571,31794,52056,34211,28871,47527.8311724045,0.217143302503297,0.529771824804753,0.409880805917387,0.68189338608851,0.999974819680144
"29","gnl|Amel_4.5|GB40010-RA",222947,233348,102559,157089,78356,65879,131536.480362411,0.445894397525815,0.550752110638022,0.809609965923264,0.418164378476413,0.999974819680144
"30","gnl|Amel_4.5|GB40012-RA",27,2,2,12,31,36,20.1483726276248,-2.66936376925355,1.0187142439059,-2.62032634295837,0.00878456578350005,0.999974819680144
"31","gnl|Amel_4.5|GB40013-RA",51,9,30,10,21,24,26.0328641546995,0.192963103512969,0.951775914270779,0.202740057422877,0.839338212005426,0.999974819680144
"32","gnl|Amel_4.5|GB40014-RA",445,100,45,42,153,92,116.074001554958,-0.139544210479619,0.730723779013347,-0.190967113001355,0.848551358974013,0.999974819680144
"33","gnl|Amel_4.5|GB40015-RA",115,13,7,7,42,11,23.4170593687385,-0.106410150931134,0.984065825398844,-0.108133163640761,0.913890061599461,0.999974819680144
"34","gnl|Amel_4.5|GB40016-RA",8,4,10,5,39,16,16.9391143918332,-1.70240280808837,1.11221494085421,-1.53064191601391,0.125857916306032,0.999974819680144
"35","gnl|Amel_4.5|GB40017-RA",1783,1914,920,1327,529,618,1105.30947425347,0.48329810190137,0.584568234268698,0.826760801510165,0.408372651634313,0.999974819680144
"36","gnl|Amel_4.5|GB40018-RA",1229,390,73,441,186,34,258.529898450027,0.458475745690987,0.760451072193432,0.602899729457369,0.546575395974097,0.999974819680144
"37","gnl|Amel_4.5|GB40019-RA",3677,2465,699,2493,889,657,1470.84172233454,0.103565909969968,0.548644966337575,0.188766718596385,0.850275657557139,0.999974819680144
"38","gnl|Amel_4.5|GB40020-RA",179,18,4,20,92,18,40.7516355772136,-0.766970462946982,0.9797150777772,-0.78285052495783,0.433714893664187,0.999974819680144
"39","gnl|Amel_4.5|GB40021-RA",241971,156111,77132,98817,95360,58577,108124.984898949,0.284898769252747,0.500117170991719,0.569664042303928,0.568905582753045,0.999974819680144
"40","gnl|Amel_4.5|GB40022-RA",44,22,17,18,6,13,18.2301724350441,0.575622082549411,0.847980487135546,0.678815245494441,0.497254932741159,0.999974819680144
"41","gnl|Amel_4.5|GB40026-RA",4,0,0,0,0,2,0.793825179789745,-0.732565576507574,3.77091352373337,-0.194267402818164,0.845966508159694,0.999974819680144
"42","gnl|Amel_4.5|GB40027-RA",59,46,11,8,9,20,21.2636421327331,0.676665232065209,0.864850506937144,0.782407163593636,0.433975325158335,0.999974819680144
"43","gnl|Amel_4.5|GB40028-RA",227,113,57,113,48,32,80.9110848402736,0.434564492112377,0.596622812906772,0.728373911810647,0.466384728574354,0.999974819680144
"44","gnl|Amel_4.5|GB40029-RA",82,67,50,85,65,36,64.2091882392409,-0.258077317330832,0.663325639726397,-0.389065794949945,0.697227475625656,0.999974819680144
"45","gnl|Amel_4.5|GB40030-RA",290,112,21,89,47,30,69.0652864043996,0.383487225700743,0.648614938833946,0.591240199293222,0.554359491497419,0.999974819680144
"46","gnl|Amel_4.5|GB40031-RA",1044,344,56,376,147,36,219.194707614643,0.455618461276848,0.748623412507914,0.60860835189553,0.542784067232303,0.999974819680144
"47","gnl|Amel_4.5|GB40032-RA",1102,1313,454,1671,175,130,686.014055162064,0.290140193548782,0.803256484533849,0.361204919145045,0.717946265087514,0.999974819680144
"48","gnl|Amel_4.5|GB40033-RA",656,250,91,222,178,120,200.950537690516,0.0389965791357929,0.518808069041065,0.0751657143804103,0.940082863117485,0.999974819680144
"49","gnl|Amel_4.5|GB40035-RA",3,10,4,3,1,1,3.602785806137,1.52305098802149,1.56966610624716,0.970302526097652,0.331895718514458,0.999974819680144
"50","gnl|Amel_4.5|GB40038-RA",6,2,0,0,6,2,2.35128054083218,-1.30266807581224,2.0713462711946,-0.628899230383611,0.52941502994935,0.999974819680144
