"","ID","C.1","C.2","C.3","T.1","T.2","T.3","logFC","AveExpr","t","pVal","adjPVal","B"
"1","10248",2207,1470,1151,8920,17011,10650,-4.23493887207176,8.43901386868822,-12.701071285604,1.07208391780136e-06,0.00436406126969339,5.99150800069951
"2","7703",42,13,15,324,527,434,-5.61651748194065,2.92425327560227,-12.1740815943326,1.49582749738796e-06,0.00436406126969339,5.17410673926346
"3","8005",112,109,131,1407,2744,2313,-5.53505962979608,5.32722100685591,-12.5853273683175,1.15219212154157e-06,0.00436406126969339,5.87174578205282
"4","9066",30,50,18,3044,1834,1658,-7.50246502941673,4.36432614268371,-11.8782337999214,1.8138243016182e-06,0.00436406126969339,5.19091397542039
"5","5415",226,146,239,2070,2442,1562,-4.68354777206147,5.6800472225641,-11.0751664655203,3.13076337291994e-06,0.00469756504131014,5.09257184268938
"6","5521",187,136,247,2845,2672,2004,-5.12646967587629,5.78349777111313,-10.7640833210505,3.90487534605997e-06,0.00469756504131014,4.89112870270796
"7","5962",138,85,43,417,860,620,-4.22007730168994,4.16420332213888,-10.9602614621507,3.3947911749055e-06,0.00469756504131014,4.94147229563539
"8","9082",79,122,56,6800,5492,1886,-7.04371850971295,5.56409986416388,-10.7944209641505,3.82069348437228e-06,0.00469756504131014,4.81888203500221
"9","7387",99,78,91,625,617,739,-4.25956595522147,4.30254058866229,-9.95348592458369,7.13794401121208e-06,0.00763284146265611,4.31349838068033
"10","5434",139,66,51,309,748,376,-3.81029913703378,3.92046583682928,-9.79438556961885,8.07517910779088e-06,0.00777155237333794,4.19011082563924
"11","4656",295,93,126,511,1000,844,-3.61865058328274,4.7837804059549,-9.65376280399651,9.01849681149508e-06,0.00789036484671169,4.14150342505225
"12","4506",332,213,95,640,1420,881,-3.59521443951776,5.09175280673561,-9.47305217131915,1.04154644565444e-05,0.00835320249414861,4.01785820021389
"13","8121",7164,4764,3915,21861,21574,22190,-3.41793549463341,9.74821161097935,-9.36723098800401,1.13442544809006e-05,0.00839823885570675,3.91616046731196
"14","10667",248,95,117,423,640,445,-3.12510605528259,4.42305549064605,-9.08930618461038,1.42534367308397e-05,0.00863222632123349,3.71785050122983
"15","10936",60,52,30,155,246,210,-3.47068236142587,2.964411284766,-8.41110690121083,2.55205983415242e-05,0.00863222632123349,3.10033787527935
"16","1506",7,8,3,138,126,167,-5.89411191667704,1.26086532858709,-8.35157122121443,2.6908436163446e-05,0.00863222632123349,2.52480912942819
"17","1651",24786,8357,5701,200,574,375,3.56976323961196,7.29137828108785,8.48331934230153,2.39427182169087e-05,0.00863222632123349,3.23715466858115
"18","2",32,9,6,232,1141,587,-6.63702093289966,2.74428545380051,-8.64356883620438,2.08135743307684e-05,0.00863222632123349,3.03443388377015
"19","350",228,125,110,338,947,782,-3.42588000369023,4.62952802556186,-8.60674629440703,2.14902416038913e-05,0.00863222632123349,3.33648235296003
"20","4043",84,40,44,180,461,340,-3.84935009378297,3.37545771819928,-9.10258645923519,1.40969306887003e-05,0.00863222632123349,3.65389119272753
"21","426",77,40,36,175,290,305,-3.68367677629944,3.16287994951403,-9.02005995966781,1.51014033719925e-05,0.00863222632123349,3.57684862676483
"22","5414",48,26,6,212,467,226,-5.01931617677574,2.6217520712092,-8.6566415882825,2.05790579947107e-05,0.00863222632123349,3.16646475405452
"23","5522",163,175,224,2002,1420,2567,-4.77766769515503,5.61061574529207,-8.90121175923451,1.66905320641387e-05,0.00863222632123349,3.5756960117723
"24","6208",2069,949,930,19,51,37,3.84017515074102,4.04123418108296,8.96277354510401,1.58453643720165e-05,0.00863222632123349,3.4928359992454
"25","7282",444,139,114,518,988,664,-3.14187249384761,4.89691966984866,-8.48721711023165,2.38606816928039e-05,0.00863222632123349,3.24289080513099
"26","7788",65,46,20,210,799,316,-4.56040599180296,3.31259278995935,-8.48700834035902,2.38650677718205e-05,0.00863222632123349,3.15958107562632
"27","8052",1352,438,234,2296,8307,2856,-4.17935230574553,6.83257886092934,-8.37858648417678,2.62685733054836e-05,0.00863222632123349,3.15398284227388
"28","8321",3929,1791,230,53782,128684,49126,-7.2274851684136,9.52449628231497,-8.77512971486259,1.85822453388283e-05,0.00863222632123349,3.46200743068074
"29","8635",105,133,77,772,574,563,-3.99076142060304,4.37241268629942,-8.36227651047057,2.66528342043526e-05,0.00863222632123349,3.12382752878461
"30","8986",5,0,5,689,2196,548,-9.86199159538235,1.97122319330033,-8.69752890455154,1.98642889223647e-05,0.00863222632123349,2.43688213532126
"31","2830",288,153,59,513,666,606,-3.37636603288396,4.53951934506146,-8.21986013099853,3.02859926247244e-05,0.00883249675819235,3.01093551790465
"32","5413",199,247,245,1598,1286,1308,-3.97772801854552,5.52254607193064,-8.23839755722368,2.97833938910128e-05,0.00883249675819235,3.03199134683582
"33","5773",38,9,2,236,300,215,-5.79193518346813,1.9973057247805,-8.26522226972856,2.90723959645805e-05,0.00883249675819235,2.67410214359203
"34","10580",175,59,100,292,951,496,-3.66885681073859,4.22032163826368,-8.17755253783632,3.14686510584677e-05,0.00890747934666744,2.9674128573661
"35","5507",71,22,18,178,220,145,-3.77304916524839,2.59819980629157,-8.07987688329358,3.43994893978704e-05,0.00945887674186013,2.78791700014797
"36","1915",87,110,61,291,408,483,-3.57347569135039,3.87321253065058,-8.01069983030117,3.6658011652996e-05,0.00979990844856759,2.81710497613928
"37","10303",99,20,29,155,339,262,-3.87653769747736,2.97996040132831,-7.97157412643073,3.80078174755213e-05,0.00988614149687615,2.73428087099701
"38","1745",250,155,129,310,506,414,-2.56119986373524,4.4171787743412,-7.85233540504559,4.24729498127938e-05,0.0105466921928999,2.68939629978885
"39","4601",25378,18463,3511,116922,173149,105834,-4.78345196424349,11.6314353581133,-7.84567193136456,4.27390893103797e-05,0.0105466921928999,2.66870991489516
"40","10615",17465,3267,2862,112,253,153,3.70674532677542,6.26495006380279,7.48433459332273,6.03546452097325e-05,0.0136248667318444,2.34930565559207
"41","5731",6933,5190,2477,17056,18522,10815,-3.07762559261898,9.38171063174028,-7.46420340260548,6.1549595800172e-05,0.0136248667318444,2.33050442693684
"42","6052",46,12,2,167,255,228,-5.34247531202223,2.00082013393807,-7.45191963181698,6.22915769120069e-05,0.0136248667318444,2.10750543286408
"43","730",119,119,129,407,464,425,-3.20036442262727,4.22674647455876,-7.54735668274052,5.67765764754939e-05,0.0136248667318444,2.40823965447105
"44","9053",4,2,0,99,100,51,-6.80051135465785,-0.042539913041176,-7.48761859850496,6.01621576257238e-05,0.0136248667318444,1.61251283225231
"45","1808",69,95,93,420,444,325,-3.6198057306997,3.89675171323582,-7.33018334739077,7.02041856234772e-05,0.0144987812183594,2.20180509021758
"46","3251",278,247,93,453,1602,678,-3.39749866590372,4.96261927769427,-7.34169399564535,6.94103688000702e-05,0.0144987812183594,2.21256115612063
"47","8513",233,118,70,239,500,534,-2.9775556652574,4.18457636163614,-7.32154370115824,7.08065998818465e-05,0.0144987812183594,2.19496626576533
"48","11689",8,3,2,37,79,57,-5.00884897402008,0.313778023572899,-7.21074732788597,7.90602977328409e-05,0.0158515896954346,1.55255295902396
"49","2046",9785,3877,4114,144,218,402,3.20994255469379,6.51030550639509,7.16749869223476,8.25659741782138e-05,0.0158922987098226,2.04394498236181
"50","5553",77012,72381,11500,307212,473578,469094,-4.68379988878623,13.3443197433292,-7.17294432489902,8.21152526632929e-05,0.0158922987098226,2.04453389887638
