"","ID","C.1","C.2","C.3","T.1","T.2","T.3","baseMean","log2FoldChange","lfcSE","stat","pVal","adjPVal"
"1","gnl|Amel_4.5|GB45954-RA",115,267,576,32,4,35,259.848720978038,4.44926311208509,0.989027162994569,4.498625799734,6.83941206707992e-06,0.0802331429589146
"2","gnl|Amel_4.5|GB40684-RA",20,69,83,2,1,7,47.5901246911134,4.75450085863756,1.11254493672172,4.27353601792249,1.92397188289977e-05,0.112850570791486
"3","gnl|Amel_4.5|GB50218-RA",27,140,176,15,10,18,100.980758535042,3.79031968846901,0.96911828442691,3.9111012034103,9.18762614516555e-05,0.359266807696457
"4","gnl|Amel_4.5|GB52186-RA",3,10,2,19,521,32,87.0626345721056,-4.49038884841255,1.19847283203251,-3.74675898226013,0.000179134049529375,0.525355383757274
"5","gnl|Amel_4.5|GB40006-RA",32,232,587,9,6,1141,461.996095370578,0.0483326517957549,2.16937605751543,0.0222795174807589,0.982224987509726,0.99963580334914
"6","gnl|Amel_4.5|GB40007-RA",2873,3558,1686,4532,3213,1347,3063.30384404091,0.471766004802071,0.718531869455817,0.656569353227666,0.511457860038463,0.99963580334914
"7","gnl|Amel_4.5|GB40008-RA",6497,332,1653,1577,904,3100,1900.7691788836,0.0468251373009457,0.764453245344534,0.0612531081346144,0.951157634923253,0.99963580334914
"8","gnl|Amel_4.5|GB40009-RA",79357,31794,28871,83571,52056,34211,47527.8311724045,-0.0874136693063905,0.544850871232273,-0.160435953986253,0.872537669240284,0.99963580334914
"9","gnl|Amel_4.5|GB40010-RA",222947,102559,65879,233348,157089,78356,131536.480362411,-0.0388151276457607,0.581329779073876,-0.0667695498200652,0.946765165017838,0.99963580334914
"10","gnl|Amel_4.5|GB40012-RA",27,2,36,2,12,31,20.1483726276248,0.585045635696425,1.20110680672356,0.487088768810114,0.626195425178006,0.99963580334914
"11","gnl|Amel_4.5|GB40013-RA",51,30,24,9,10,21,26.0328641546995,1.53737993935551,0.859798999952879,1.78806900152218,0.0737648760539271,0.99963580334914
"12","gnl|Amel_4.5|GB40014-RA",445,45,92,100,42,153,116.074001554958,0.486076713949565,0.724796577422149,0.670638809689708,0.502450652607423,0.99963580334914
"13","gnl|Amel_4.5|GB40015-RA",115,7,11,13,7,42,23.4170593687385,0.246368837714347,0.989226739994088,0.24905193900826,0.803320605333972,0.99963580334914
"14","gnl|Amel_4.5|GB40016-RA",8,10,16,4,5,39,16.9391143918332,-0.163598162449466,1.19826340018194,-0.136529382792319,0.891402797914403,0.99963580334914
"15","gnl|Amel_4.5|GB40017-RA",1783,920,618,1914,1327,529,1105.30947425347,0.118202724517469,0.614179061209973,0.192456454449296,0.847384674555794,0.99963580334914
"16","gnl|Amel_4.5|GB40018-RA",1229,73,34,390,441,186,258.529898450027,-0.408611088721422,0.771550517454053,-0.529597323153575,0.596391150706097,0.99963580334914
"17","gnl|Amel_4.5|GB40019-RA",3677,699,657,2465,2493,889,1470.84172233454,-0.394397858749132,0.54172833210983,-0.728036241363082,0.466591401555119,0.99963580334914
"18","gnl|Amel_4.5|GB40020-RA",179,4,18,18,20,92,40.7516355772136,-0.373169020367862,1.00404274914136,-0.371666466081239,0.71014119542378,0.99963580334914
"19","gnl|Amel_4.5|GB40021-RA",241971,77132,58577,156111,98817,95360,108124.984898949,0.101196321290929,0.520706098993447,0.194344413262197,0.845906211765533,0.99963580334914
"20","gnl|Amel_4.5|GB40022-RA",44,17,13,22,18,6,18.2301724350441,0.830534345974378,0.836281475364944,0.993127757148921,0.320647698662397,0.99963580334914
"21","gnl|Amel_4.5|GB40026-RA",4,0,2,0,0,0,0.793825179789745,3.25543416693443,3.70623540006385,0.87836681039697,0.379744689689919,0.99963580334914
"22","gnl|Amel_4.5|GB40027-RA",59,11,20,46,8,9,21.2636421327331,0.547472256843143,0.882063503624344,0.620672156362455,0.534815352979675,0.99963580334914
"23","gnl|Amel_4.5|GB40028-RA",227,57,32,113,113,48,80.9110848402736,0.0624462660779705,0.623787309460773,0.10010826628062,0.920258372759604,0.99963580334914
"24","gnl|Amel_4.5|GB40029-RA",82,50,36,67,85,65,64.2091882392409,-0.117867611740016,0.677687127499171,-0.173926295715512,0.861923386588782,0.99963580334914
"25","gnl|Amel_4.5|GB40030-RA",290,21,30,112,89,47,69.0652864043996,-0.0861890102673936,0.670713509377194,-0.128503465432546,0.897750555944368,0.99963580334914
"26","gnl|Amel_4.5|GB40031-RA",1044,56,36,344,376,147,219.194707614643,-0.402531461589857,0.760121592651771,-0.529561935197209,0.596415691895403,0.99963580334914
"27","gnl|Amel_4.5|GB40032-RA",1102,454,130,1313,1671,175,686.014055162064,-0.795148928837297,0.784261693721917,-1.01388214572066,0.310638991792439,0.99963580334914
"28","gnl|Amel_4.5|GB40033-RA",656,91,120,250,222,178,200.950537690516,0.0852925464684903,0.528911671498602,0.161260473278695,0.871888253507167,0.99963580334914
"29","gnl|Amel_4.5|GB40035-RA",3,4,1,10,3,1,3.602785806137,-0.214178289976451,1.58468205702361,-0.135155370143287,0.892489032703396,0.99963580334914
"30","gnl|Amel_4.5|GB40038-RA",6,0,2,2,0,6,2.35128054083218,-0.560772871297464,2.10559645037548,-0.266324950917098,0.789988958737342,0.99963580334914
"31","gnl|Amel_4.5|GB40039-RA",9,31,5,36,45,4,23.531484059137,-0.0142489432107222,1.12216316914453,-0.0126977462837108,0.989868936527189,0.99963580334914
"32","gnl|Amel_4.5|GB40046-RA",99,27,4,51,71,42,40.7619776348077,-0.62124741407341,0.811832863674931,-0.765240533945872,0.444128326994637,0.99963580334914
"33","gnl|Amel_4.5|GB40047-RA",163,54,37,102,144,33,77.3429078427906,-0.0828320547277296,0.6766377585422,-0.122417133365701,0.902568670098682,0.99963580334914
"34","gnl|Amel_4.5|GB40053-RA",24,2,6,12,2,20,9.4971216468786,-0.551277438610992,1.17397716906977,-0.469581055863133,0.63865436193749,0.99963580334914
"35","gnl|Amel_4.5|GB40054-RA",29,0,22,3,11,24,14.4558386396643,0.232461255303755,1.28656914136925,0.180683064616609,0.856616352470823,0.99963580334914
"36","gnl|Amel_4.5|GB40056-RA",308,93,29,185,160,61,114.964135264852,-0.0139264685145182,0.681540732361081,-0.0204338021973717,0.983697319220407,0.99963580334914
"37","gnl|Amel_4.5|GB40057-RA",4302,1428,2256,3696,3361,1805,2632.43558433133,0.0531936250704909,0.549918650425554,0.0967299891162577,0.922940823625826,0.99963580334914
"38","gnl|Amel_4.5|GB40058-RA",111,6,6,67,92,20,35.9510633223836,-1.20485659399957,0.85603183890882,-1.40749039841251,0.159282022400349,0.99963580334914
"39","gnl|Amel_4.5|GB40061-RA",261,54,392,204,199,261,244.745223491596,0.409395171001727,0.800683596464106,0.51130705413431,0.609136066293595,0.99963580334914
"40","gnl|Amel_4.5|GB40063-RA",497,217,226,556,672,123,351.04858016037,-0.222162502307938,0.670672726039064,-0.331253223341899,0.740453220896108,0.99963580334914
"41","gnl|Amel_4.5|GB40064-RA",73,5,11,28,32,14,19.999462932808,-0.189796151677484,0.821230384318523,-0.231111945322117,0.817227835287341,0.99963580334914
"42","gnl|Amel_4.5|GB40065-RA",0,0,6,0,0,3,2.21041161344999,1.47888189345331,2.80065896405522,0.528047831754551,0.597466137808242,0.99963580334914
"43","gnl|Amel_4.5|GB40067-RA",413,12,28,69,31,111,72.500083630888,0.135017168185593,0.871256793193185,0.154968281728686,0.876846322698025,0.99963580334914
"44","gnl|Amel_4.5|GB40069-RA",122,27,98,211,73,51,89.346511919316,-0.125904834805117,0.745747229968313,-0.168830442468377,0.865930012404517,0.99963580334914
"45","gnl|Amel_4.5|GB40070-RA",512,47,132,111,159,243,167.603214020378,-0.0132676319839903,0.683035591487604,-0.019424510449147,0.984502457584703,0.99963580334914
"46","gnl|Amel_4.5|GB40071-RA",417,186,123,161,199,120,191.378705223604,0.726664030733015,0.588367546201468,1.23505117748998,0.216811458001985,0.99963580334914
"47","gnl|Amel_4.5|GB40072-RA",1314,128,111,318,188,302,280.229756946451,0.304758317743524,0.638503557337456,0.477300892440379,0.633147875564832,0.99963580334914
"48","gnl|Amel_4.5|GB40073-RA",311,31,127,206,121,100,126.385479844713,0.0366237657336767,0.646904092289188,0.0566139033130504,0.954852759066812,0.99963580334914
"49","gnl|Amel_4.5|GB40074-RA",301,145,575,314,217,582,405.33792765807,0.257991484609943,0.825689404966271,0.312455849691425,0.754694111398108,0.99963580334914
"50","gnl|Amel_4.5|GB40075-RA",489,60,232,445,292,187,246.382643316726,-0.241648140920438,0.627401518109631,-0.385157086722593,0.700121035154525,0.99963580334914
