"","ID","C.1","C.2","C.3","T.1","T.2","T.3","baseMean","log2FoldChange","lfcSE","stat","pVal","adjPVal"
"1","gnl|Amel_4.5|GB41523-RA",168,40,62,450,338,176,186.967205436948,-2.08588756176113,0.488382640966303,-4.27101085663905,1.94588934049803e-05,0.228933880909593
"2","gnl|Amel_4.5|GB51996-RA",281,10,90,15,8,1,42.0996505479048,3.51883891263788,0.897821717371502,3.91930696769039,8.88039521957423e-05,0.348259499194303
"3","gnl|Amel_4.5|GB53336-RA",66,10,14,136,298,43,81.1118226386503,-2.79065364706804,0.699553324549002,-3.98919360274237,6.6298295057677e-05,0.348259499194303
"4","gnl|Amel_4.5|GB49987-RA",509,12,66,14,16,6,54.8729780946688,3.13610989394046,0.831578461982242,3.77127359271052,0.000162416479932631,0.47770747160185
"5","gnl|Amel_4.5|GB47538-RA",415,26,120,22,27,15,69.032752029731,2.47869639436246,0.671177638974519,3.69305568366315,0.000221575481380413,0.521367107688111
"6","gnl|Amel_4.5|GB45598-RA",17,2,7,85,49,19,25.7013730763863,-2.83440088011441,0.778625049574216,-3.64026418320908,0.000272358450407438,0.534049528173917
"7","gnl|Amel_4.5|GB45711-RA",53,9,21,144,129,41,57.6359695338177,-2.18093099490229,0.606600530939943,-3.59533314539451,0.00032397672079143,0.544512302873026
"8","gnl|Amel_4.5|GB40241-RA",20,9,7,0,0,0,5.54342906831044,5.87863084733411,1.7624879264527,3.33541623695876,0.000851718086321004,0.71722521972341
"9","gnl|Amel_4.5|GB41263-RA",55,15,67,5,0,5,23.5000741082105,3.55758140650281,1.0648184266751,3.34102164029163,0.000834707168228783,0.71722521972341
"10","gnl|Amel_4.5|GB41903-RA",149,29,71,16,14,11,39.7369066421316,2.26386919968565,0.651667165764313,3.4739654207228,0.000512827118682477,0.71722521972341
"11","gnl|Amel_4.5|GB44017-RA",6,2,4,29,30,20,15.0672988092852,-2.94319184525728,0.905281790189956,-3.25113337874576,0.00114945918631501,0.71722521972341
"12","gnl|Amel_4.5|GB44780-RA",443,40,114,36,20,26,77.8161630387656,2.17734935083123,0.641370590622924,3.39483815233327,0.000686691814363123,0.71722521972341
"13","gnl|Amel_4.5|GB45750-RA",6,2,2,33,25,14,12.8321881761249,-3.09234410231447,0.951795940009602,-3.24895702148433,0.00115828977260899,0.71722521972341
"14","gnl|Amel_4.5|GB47332-RA",186,0,23,2,1,0,16.7550485058046,5.24135921798093,1.53859346328784,3.40659137260378,0.000657795283322451,0.71722521972341
"15","gnl|Amel_4.5|GB50820-RA",52,26,17,186,248,44,85.2330605137157,-2.26440860190274,0.690841876273676,-3.27775237673302,0.00104637144134873,0.71722521972341
"16","gnl|Amel_4.5|GB52088-RA",120,25,33,236,215,72,101.386847325918,-1.84177989739805,0.541996600778034,-3.39813920374073,0.000678458883537616,0.71722521972341
"17","gnl|Amel_4.5|GB52603-RA",453,261,85,1607,1498,607,705.149379845948,-2.15939677653479,0.664361456392454,-3.25033422056198,0.00115269452199362,0.71722521972341
"18","gnl|Amel_4.5|GB53387-RA",13,4,3,33,63,18,20.6272174508958,-2.78216491705777,0.838355431814866,-3.31859830744456,0.000904704706990266,0.71722521972341
"19","gnl|Amel_4.5|GB56009-RA",681,96,196,754,839,453,447.778544601939,-1.5664751894487,0.478384460587274,-3.27451102304967,0.00105845009550817,0.71722521972341
"20","gnl|Amel_4.5|GB40165-RA",14,3,6,52,56,13,20.9523908138812,-2.58395453608799,0.806498841066184,-3.20391599406643,0.00135572027749986,0.732787600886969
"21","gnl|Amel_4.5|GB50761-RA",186,40,75,25,19,17,49.8531177041789,1.94600908137231,0.606670527279767,3.20768686439732,0.00133807101755866,0.732787600886969
"22","gnl|Amel_4.5|GB52707-RA",4,0,0,48,27,2,10.5643860174127,-4.75405271438452,1.48525184550682,-3.200839459494,0.00137027855669472,0.732787600886969
