ID	Gene Name	Species	GOTERM_BP_DIRECT
GB50815	39S ribosomal protein L13, mitochondrial(LOC413928)	Apis mellifera	GO:0006412~translation,
GB40077	4-coumarate--CoA ligase 1(LOC726040)	Apis mellifera	GO:0008152~metabolic process,
GB48335	40S ribosomal protein S19-like(LOC410024)	Apis mellifera	GO:0006412~translation,
GB47590	40S ribosomal protein S7(LOC552564)	Apis mellifera	GO:0006412~translation,
GB40168	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase(LOC409963)	Apis mellifera	GO:0006000~fructose metabolic process,GO:0006003~fructose 2,6-bisphosphate metabolic process,
GB40576	60S acidic ribosomal protein P0(LOC550711)	Apis mellifera	GO:0042254~ribosome biogenesis,
GB50356	60S acidic ribosomal protein P2(LOC725884)	Apis mellifera	GO:0006414~translational elongation,
GB52689	ADP-ribosylation factor-like protein 4C(LOC724594)	Apis mellifera	GO:0007264~small GTPase mediated signal transduction,
GB45452	AP-3 complex subunit mu-1(LOC552520)	Apis mellifera	GO:0006886~intracellular protein transport,GO:0016192~vesicle-mediated transport,
GB51617	C-Myc-binding protein(LOC551912)	Apis mellifera	GO:0006355~regulation of transcription, DNA-templated,
GB40727	CDP-diacylglycerol--inositol 3-phosphatidyltransferase(LOC411408)	Apis mellifera	GO:0008654~phospholipid biosynthetic process,
GB55429	CREB-regulated transcription coactivator 1-like(LOC408676)	Apis mellifera	GO:0032793~positive regulation of CREB transcription factor activity,
GB47082	DALR anticodon-binding domain-containing protein 3-like(LOC725987)	Apis mellifera	GO:0006420~arginyl-tRNA aminoacylation,
GB54113	DET1- and DDB1-associated protein 1(LOC409984)	Apis mellifera	GO:0032434~regulation of proteasomal ubiquitin-dependent protein catabolic process,
GB49338	E3 ubiquitin-protein ligase FANCL(LOC727490)	Apis mellifera	GO:0006281~DNA repair,
GB44011	E3 ubiquitin-protein ligase RNF220-like(LOC725092)	Apis mellifera	GO:0016567~protein ubiquitination,GO:0090263~positive regulation of canonical Wnt signaling pathway,
GB44411	F-box only protein 11(LOC412059)	Apis mellifera	GO:0016567~protein ubiquitination,
GB45875	G-protein coupled receptor Mth2(LOC724760)	Apis mellifera	GO:0006950~response to stress,GO:0007166~cell surface receptor signaling pathway,
GB52648	Golgi SNAP receptor complex member 2(LOC412913)	Apis mellifera	GO:0015031~protein transport,GO:0061025~membrane fusion,
GB50962	POU domain protein CF1A(LOC410203)	Apis mellifera	GO:0006351~transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0007420~brain development,
GB50969	RANBP2-like and GRIP domain-containing protein 5/6(LOC726272)	Apis mellifera	GO:0046907~intracellular transport,
GB48521	RNA polymerase II elongation factor Ell(LOC409928)	Apis mellifera	GO:0006368~transcription elongation from RNA polymerase II promoter,
GB54653	U1 small nuclear ribonucleoprotein A(Snf)	Apis mellifera	GO:0000398~mRNA splicing, via spliceosome,
