ID	Gene Name	Species	GOTERM_BP_DIRECT
GB54652	28S ribosomal protein S18c, mitochondrial(LOC100578560)	Apis mellifera	GO:0006412~translation,
GB50815	39S ribosomal protein L13, mitochondrial(LOC413928)	Apis mellifera	GO:0006412~translation,
GB50920	39S ribosomal protein L37, mitochondrial(LOC725854)	Apis mellifera	GO:0006412~translation,
GB51342	39S ribosomal protein L47, mitochondrial(LOC413774)	Apis mellifera	GO:0006412~translation,
GB53219	40S ribosomal protein S17(LOC724233)	Apis mellifera	GO:0006412~translation,
GB47590	40S ribosomal protein S7(LOC552564)	Apis mellifera	GO:0006412~translation,
GB50356	60S acidic ribosomal protein P2(LOC725884)	Apis mellifera	GO:0006414~translational elongation,
GB49177	60S ribosomal protein L27(LOC412266)	Apis mellifera	GO:0006412~translation,
GB51359	60S ribosomal protein L27a(LOC552318)	Apis mellifera	GO:0006412~translation,
GB49220	60S ribosomal protein L29(LOC724631)	Apis mellifera	GO:0006412~translation,
GB40492	60S ribosomal protein L37(LOC552494)	Apis mellifera	GO:0006412~translation,
GB54052	72 kDa inositol polyphosphate 5-phosphatase(LOC409136)	Apis mellifera	GO:0046856~phosphatidylinositol dephosphorylation,
GB48646	ADP-ribosylation factor-like protein 2(LOC411085)	Apis mellifera	GO:0007264~small GTPase mediated signal transduction,
GB49299	ADP-ribosylation factor-related protein 1(LOC409342)	Apis mellifera	GO:0007264~small GTPase mediated signal transduction,
GB45452	AP-3 complex subunit mu-1(LOC552520)	Apis mellifera	GO:0006886~intracellular protein transport,GO:0016192~vesicle-mediated transport,
GB49415	ATP synthase mitochondrial F1 complex assembly factor 2(LOC413714)	Apis mellifera	GO:0043461~proton-transporting ATP synthase complex assembly,
GB54665	ATP-dependent DNA helicase Q5-like(LOC100577640)	Apis mellifera	GO:0006310~DNA recombination,GO:0039694~viral RNA genome replication,
GB51617	C-Myc-binding protein(LOC551912)	Apis mellifera	GO:0006355~regulation of transcription, DNA-templated,
GB40888	CAAX prenyl protease 1 homolog(LOC551466)	Apis mellifera	GO:0071586~CAAX-box protein processing,
GB44084	CCAAT/enhancer-binding protein gamma(LOC726550)	Apis mellifera	GO:0006351~transcription, DNA-templated,
GB40727	CDP-diacylglycerol--inositol 3-phosphatidyltransferase(LOC411408)	Apis mellifera	GO:0008654~phospholipid biosynthetic process,
GB47082	DALR anticodon-binding domain-containing protein 3-like(LOC725987)	Apis mellifera	GO:0006420~arginyl-tRNA aminoacylation,
GB54113	DET1- and DDB1-associated protein 1(LOC409984)	Apis mellifera	GO:0032434~regulation of proteasomal ubiquitin-dependent protein catabolic process,
GB50511	DNA mismatch repair protein Mlh1(LOC724296)	Apis mellifera	GO:0006298~mismatch repair,
GB41368	DNA polymerase beta-like(LOC724170)	Apis mellifera	GO:0006281~DNA repair,
GB44304	DNA polymerase delta small subunit-like(LOC727251)	Apis mellifera	GO:0006260~DNA replication,
GB46460	DNA polymerase delta subunit 3-like(LOC100578479)	Apis mellifera	GO:0006260~DNA replication,
GB52473	DNA polymerase eta(LOC726583)	Apis mellifera	GO:0006281~DNA repair,
GB55788	DNA repair protein RAD51 homolog 4(LOC100576677)	Apis mellifera	GO:0006281~DNA repair,
GB44540	DNA repair protein RAD51 homolog A(LOC552450)	Apis mellifera	GO:0000724~double-strand break repair via homologous recombination,GO:1990426~mitotic recombination-dependent replication fork processing,
GB44054	DNA replication complex GINS protein PSF1-like(LOC412072)	Apis mellifera	GO:0006260~DNA replication,
GB50996	DNA-directed RNA polymerase II subunit RPB3(LOC552458)	Apis mellifera	GO:0006351~transcription, DNA-templated,
GB40307	DNA-directed RNA polymerase II subunit RPB9(LOC412547)	Apis mellifera	GO:0006351~transcription, DNA-templated,
GB47047	E3 SUMO-protein ligase NSE2-like(LOC100578530)	Apis mellifera	GO:0000724~double-strand break repair via homologous recombination,
GB49338	E3 ubiquitin-protein ligase FANCL(LOC727490)	Apis mellifera	GO:0006281~DNA repair,
GB50475	E3 ubiquitin-protein ligase RAD18-like(LOC725208)	Apis mellifera	GO:0006281~DNA repair,
GB45077	G2/mitotic-specific cyclin-B3(LOC413667)	Apis mellifera	GO:0000079~regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0010389~regulation of G2/M transition of mitotic cell cycle,
GB52648	Golgi SNAP receptor complex member 2(LOC412913)	Apis mellifera	GO:0015031~protein transport,GO:0061025~membrane fusion,
GB44677	MAD2L1-binding protein(LOC726397)	Apis mellifera	GO:0007096~regulation of exit from mitosis,
GB45777	N-acetylglucosamine-6-sulfatase-like(LOC550869)	Apis mellifera	GO:0030203~glycosaminoglycan metabolic process,
GB41759	N-acetylglucosaminyl-phosphatidylinositol biosynthetic protein(LOC413643)	Apis mellifera	GO:0006506~GPI anchor biosynthetic process,
GB41640	REM2- and Rab-like small GTPase 1(LOC410561)	Apis mellifera	GO:0007264~small GTPase mediated signal transduction,
GB54480	RISC-loading complex subunit TARBP2(LOC725512)	Apis mellifera	GO:0030422~production of siRNA involved in RNA interference,
GB49633	RNA 3'-terminal phosphate cyclase-like protein(LOC100576850)	Apis mellifera	GO:0006396~RNA processing,GO:0042254~ribosome biogenesis,
GB46743	S-methyl-5'-thioadenosine phosphorylase-like(LOC552740)	Apis mellifera	GO:0006166~purine ribonucleoside salvage,GO:0019509~L-methionine biosynthetic process from methylthioadenosine,
GB50338	SH3 domain-binding protein 5 homolog(LOC552162)	Apis mellifera	GO:0035556~intracellular signal transduction,
GB51009	T-complex protein 1 subunit delta(LOC551275)	Apis mellifera	GO:0006457~protein folding,
GB54653	U1 small nuclear ribonucleoprotein A(Snf)	Apis mellifera	GO:0000398~mRNA splicing, via spliceosome,
GB52153	U3 small nucleolar RNA-associated protein 15 homolog(LOC412931)	Apis mellifera	GO:0006364~rRNA processing,
GB49829	U6 snRNA phosphodiesterase(LOC724953)	Apis mellifera	GO:0006397~mRNA processing,GO:0008380~RNA splicing,GO:0034477~U6 snRNA 3'-end processing,
GB43115	U6 snRNA-associated Sm-like protein LSm7(LOC725352)	Apis mellifera	GO:0000398~mRNA splicing, via spliceosome,
GB46041	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase(LOC552327)	Apis mellifera	GO:0006487~protein N-linked glycosylation,GO:0006488~dolichol-linked oligosaccharide biosynthetic process,
GB51079	UDP-glucose 4-epimerase-like(LOC409499)	Apis mellifera	GO:0006012~galactose metabolic process,
GB44514	UDP-xylose and UDP-N-acetylglucosamine transporter(LOC725569)	Apis mellifera	GO:0055085~transmembrane transport,
GB53031	activated RNA polymerase II transcriptional coactivator p15(LOC552213)	Apis mellifera	GO:0006355~regulation of transcription, DNA-templated,
GB45649	adenosine 3'-phospho 5'-phosphosulfate transporter 1(LOC412435)	Apis mellifera	GO:0055085~transmembrane transport,
GB51000	alpha-(1,6)-fucosyltransferase(LOC552522)	Apis mellifera	GO:0033578~protein glycosylation in Golgi,
GB51739	alpha-ketoglutarate-dependent dioxygenase alkB homolog 4(LOC551104)	Apis mellifera	GO:0070988~demethylation,
GB43900	alpha-ketoglutarate-dependent dioxygenase alkB homolog 7, mitochondrial(LOC411448)	Apis mellifera	GO:0006974~cellular response to DNA damage stimulus,GO:1902445~regulation of mitochondrial membrane permeability involved in programmed necrotic cell death,
GB44869	alpha-soluble NSF attachment protein(LOC552830)	Apis mellifera	GO:0006886~intracellular protein transport,
GB42755	anamorsin homolog(LOC552386)	Apis mellifera	GO:0006915~apoptotic process,GO:0016226~iron-sulfur cluster assembly,GO:0043066~negative regulation of apoptotic process,
GB45183	arginyl-tRNA--protein transferase 1(LOC412018)	Apis mellifera	GO:0016598~protein arginylation,
GB42721	aspartate--tRNA ligase, mitochondrial(LOC725136)	Apis mellifera	GO:0006418~tRNA aminoacylation for protein translation,
GB45831	beta-parvin(LOC409755)	Apis mellifera	GO:0007155~cell adhesion,GO:0031532~actin cytoskeleton reorganization,
GB43954	breast cancer type 2 susceptibility protein homolog(LOC725687)	Apis mellifera	GO:0000724~double-strand break repair via homologous recombination,
GB45314	cGMP-dependent 3',5'-cyclic phosphodiesterase-like(LOC412573)	Apis mellifera	GO:0007165~signal transduction,
GB46025	carbohydrate sulfotransferase 11-like(LOC726192)	Apis mellifera	GO:0016051~carbohydrate biosynthetic process,
GB55479	cell division cycle protein 123 homolog(LOC725473)	Apis mellifera	GO:0007049~cell cycle,
GB49527	centromere/kinetochore protein zw10 homolog(LOC725793)	Apis mellifera	GO:0007067~mitotic nuclear division,
GB54194	charged multivesicular body protein 4b(LOC411857)	Apis mellifera	GO:0007034~vacuolar transport,
