ID	Gene Name	Species	GOTERM_BP_DIRECT
GB40077	4-coumarate--CoA ligase 1(LOC726040)	Apis mellifera	GO:0008152~metabolic process,
GB52689	ADP-ribosylation factor-like protein 4C(LOC724594)	Apis mellifera	GO:0007264~small GTPase mediated signal transduction,
GB55429	CREB-regulated transcription coactivator 1-like(LOC408676)	Apis mellifera	GO:0032793~positive regulation of CREB transcription factor activity,
GB44011	E3 ubiquitin-protein ligase RNF220-like(LOC725092)	Apis mellifera	GO:0016567~protein ubiquitination,GO:0090263~positive regulation of canonical Wnt signaling pathway,
GB44411	F-box only protein 11(LOC412059)	Apis mellifera	GO:0016567~protein ubiquitination,
GB50969	RANBP2-like and GRIP domain-containing protein 5/6(LOC726272)	Apis mellifera	GO:0046907~intracellular transport,
GB48521	RNA polymerase II elongation factor Ell(LOC409928)	Apis mellifera	GO:0006368~transcription elongation from RNA polymerase II promoter,
GB42447	WW domain-binding protein 11(LOC411218)	Apis mellifera	GO:0006396~RNA processing,
GB45708	annulin-like(LOC726462)	Apis mellifera	GO:0018149~peptide cross-linking,
GB42604	arrestin red cell(LOC409006)	Apis mellifera	GO:0007165~signal transduction,
GB55998	beta-1,4-N-acetylgalactosaminyltransferase bre-4(LOC411365)	Apis mellifera	GO:0005975~carbohydrate metabolic process,
GB42000	cAMP-specific 3',5'-cyclic phosphodiesterase(LOC411288)	Apis mellifera	GO:0007165~signal transduction,
GB44972	catenin delta-2(LOC408311)	Apis mellifera	GO:0010172~embryonic body morphogenesis,GO:0016337~single organismal cell-cell adhesion,GO:0032956~regulation of actin cytoskeleton organization,
GB50415	diacylglycerol kinase theta(LOC408809)	Apis mellifera	GO:0007205~protein kinase C-activating G-protein coupled receptor signaling pathway,GO:0035556~intracellular signal transduction,
GB48059	ecdysone receptor(Ecr)	Apis mellifera	GO:0006351~transcription, DNA-templated,
GB48385	extracellular sulfatase SULF-1 homolog(LOC410233)	Apis mellifera	GO:0008152~metabolic process,
GB54181	guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1(LOC410497)	Apis mellifera	GO:0007165~signal transduction,
GB52039	hairy/enhancer-of-split related with YRPW motif protein 1(LOC726204)	Apis mellifera	GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,
GB42681	histone deacetylase complex subunit SAP130-A-like(LOC413821)	Apis mellifera	GO:0006355~regulation of transcription, DNA-templated,
GB46691	histone-lysine N-methyltransferase, H3 lysine-79 specific(LOC411070)	Apis mellifera	GO:0051726~regulation of cell cycle,
GB47493	homeobox protein Msx(Msx)	Apis mellifera	GO:0006355~regulation of transcription, DNA-templated,GO:0007275~multicellular organism development,
GB55198	homeobox protein caupolican(LOC412839)	Apis mellifera	GO:0006355~regulation of transcription, DNA-templated,
GB40074	hormone receptor-like in 38(LOC551592)	Apis mellifera	GO:0006351~transcription, DNA-templated,
GB45503	inactive tyrosine-protein kinase 7-like(LOC410685)	Apis mellifera	GO:0001736~establishment of planar polarity,GO:0060026~convergent extension,
GB55425	insulin-like receptor-like(InR-2)	Apis mellifera	GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,
GB45009	katanin p80 WD40 repeat-containing subunit B1(LOC410348)	Apis mellifera	GO:0007067~mitotic nuclear division,GO:0051013~microtubule severing,GO:0051301~cell division,
GB44709	kinesin 3E(LOC552512)	Apis mellifera	GO:0007018~microtubule-based movement,
GB45967	nuclear receptor coactivator 3-like(LOC410637)	Apis mellifera	GO:0006355~regulation of transcription, DNA-templated,
GB46066	nucleosome assembly protein 1-like 1(LOC550824)	Apis mellifera	GO:0006334~nucleosome assembly,
GB53852	paired amphipathic helix protein Sin3a(LOC409049)	Apis mellifera	GO:0006355~regulation of transcription, DNA-templated,
GB52077	period circadian protein(Per)	Apis mellifera	GO:0006355~regulation of transcription, DNA-templated,
GB43074	phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform(LOC551500)	Apis mellifera	GO:0046854~phosphatidylinositol phosphorylation,GO:0048015~phosphatidylinositol-mediated signaling,
GB46736	probable ubiquitin carboxyl-terminal hydrolase FAF-X(LOC411981)	Apis mellifera	GO:0006511~ubiquitin-dependent protein catabolic process,GO:0016579~protein deubiquitination,
GB45062	protein apterous(LOC409095)	Apis mellifera	GO:0006355~regulation of transcription, DNA-templated,
GB41521	protein groucho-1(LOC408890)	Apis mellifera	GO:0006355~regulation of transcription, DNA-templated,
GB41520	protein groucho-1-like(LOC411175)	Apis mellifera	GO:0006355~regulation of transcription, DNA-templated,
GB48639	protein jagged-1(LOC411086)	Apis mellifera	GO:0007219~Notch signaling pathway,GO:0007275~multicellular organism development,GO:0030154~cell differentiation,GO:0042127~regulation of cell proliferation,
GB43222	protein kinase C(Pkc)	Apis mellifera	GO:0035556~intracellular signal transduction,
GB44532	protein similar-like(LOC408852)	Apis mellifera	GO:0006351~transcription, DNA-templated,
GB52114	protein trachealess(LOC408389)	Apis mellifera	GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,
GB51276	protocadherin-like wing polarity protein stan(LOC551848)	Apis mellifera	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007166~cell surface receptor signaling pathway,
GB50397	rap guanine nucleotide exchange factor 2-like(LOC408810)	Apis mellifera	GO:0007264~small GTPase mediated signal transduction,
