ID	Gene Name	Species	GOTERM_BP_DIRECT\
GB44174	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II(LOC408791)"	Apis mellifera	"GO:0016042~lipid catabolic process,GO:0035556~intracellular signal transduction,\"
GB43456	18-wheeler(18-w)	Apis mellifera	"GO:0007165~signal transduction,\"
GB50958	"2-oxoglutarate dehydrogenase, mitochondrial(LOC408286)"	Apis mellifera	"GO:0006099~tricarboxylic acid cycle,\"
GB50970	"3-ketoacyl-CoA thiolase, mitochondrial(LOC408291)"	Apis mellifera	"GO:0008152~metabolic process,\"
GB40077	4-coumarate--CoA ligase 1(LOC726040)	Apis mellifera	"GO:0008152~metabolic process,\"
GB51729	4-coumarate--CoA ligase 1-like(LOC726625)	Apis mellifera	"GO:0008152~metabolic process,\"
GB40168	"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase(LOC409963)"	Apis mellifera	"GO:0006000~fructose metabolic process,GO:0006003~fructose 2,6-bisphosphate metabolic process,\"
GB44147	60S ribosomal protein L15(LOC413137)	Apis mellifera	"GO:0006412~translation,\"
GB50101	ABC transporter G family member 20(LOC409666)	Apis mellifera	"GO:0006810~transport,\"
GB46481	ADP-ribosylation factor 1(LOC409481)	Apis mellifera	"GO:0007264~small GTPase mediated signal transduction,\"
GB52689	ADP-ribosylation factor-like protein 4C(LOC724594)	Apis mellifera	"GO:0007264~small GTPase mediated signal transduction,\"
GB52736	"ATP synthase subunit beta, mitochondrial(LOC551766)"	Apis mellifera	"GO:0015986~ATP synthesis coupled proton transport,GO:0015991~ATP hydrolysis coupled proton transport,\"
GB40720	CCR4-NOT transcription complex subunit 3(LOC411794)	Apis mellifera	"GO:0006355~regulation of transcription, DNA-templated,\"
GB50959	DNA-directed RNA polymerase III subunit RPC2(LOC552658)	Apis mellifera	"GO:0006351~transcription, DNA-templated,\"
GB44011	E3 ubiquitin-protein ligase RNF220-like(LOC725092)	Apis mellifera	"GO:0016567~protein ubiquitination,GO:0090263~positive regulation of canonical Wnt signaling pathway,\"
GB44411	F-box only protein 11(LOC412059)	Apis mellifera	"GO:0016567~protein ubiquitination,\"
GB48497	FK506-binding protein 2(LOC413785)	Apis mellifera	"GO:0006457~protein folding,\"
GB41785	GATA-binding factor C-like(LOC100577332)	Apis mellifera	"GO:0030097~hemopoiesis,\"
GB53421	Golgi resident protein GCP60(LOC411299)	Apis mellifera	"GO:0006810~transport,\"
GB42802	MFS-type transporter SLC18B1-like(LOC412764)	Apis mellifera	"GO:0055085~transmembrane transport,\"
GB55587	OTU domain-containing protein 7B-like(LOC408678)	Apis mellifera	"GO:0035871~protein K11-linked deubiquitination,\"
GB50962	POU domain protein CF1A(LOC410203)	Apis mellifera	"GO:0006351~transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0007420~brain development,\"
GB49937	"PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK-like(LOC413697)"	Apis mellifera	"GO:0006071~glycerol metabolic process,\"
GB50969	RANBP2-like and GRIP domain-containing protein 5/6(LOC726272)	Apis mellifera	"GO:0046907~intracellular transport,\"
GB45017	RNA pseudouridylate synthase domain-containing protein 2-like(LOC410341)	Apis mellifera	"GO:0001522~pseudouridine synthesis,\"
GB51874	SLIT-ROBO Rho GTPase-activating protein 1-like(LOC552604)	Apis mellifera	"GO:0007165~signal transduction,\"
GB43302	SPARC(LOC408937)	Apis mellifera	"GO:0007165~signal transduction,\"
GB40997	UDP-glucuronosyltransferase 2B18(LOC411021)	Apis mellifera	"GO:0008152~metabolic process,\"
GB53229	WAS protein family homolog 1-like(LOC724795)	Apis mellifera	"GO:0034314~Arp2/3 complex-mediated actin nucleation,\"
GB42447	WW domain-binding protein 11(LOC411218)	Apis mellifera	"GO:0006396~RNA processing,\"
GB49336	acetyl-CoA carboxylase(LOC552286)	Apis mellifera	"GO:0006633~fatty acid biosynthetic process,\"
GB48195	acyl-CoA Delta(11) desaturase(LOC412166)	Apis mellifera	"GO:0006633~fatty acid biosynthetic process,\"
GB47527	"acyl-CoA synthetase family member 2, mitochondrial-like(LOC410988)"	Apis mellifera	"GO:0008152~metabolic process,\"
GB50232	"alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase(LOC726476)"	Apis mellifera	"GO:0009312~oligosaccharide biosynthetic process,\"
GB49854	alpha-amylase(LOC406114)	Apis mellifera	"GO:0005975~carbohydrate metabolic process,\"
GB54549	alpha-glucosidase(Hbg2)	Apis mellifera	"GO:0005975~carbohydrate metabolic process,\"
GB41732	"aminomethyltransferase, mitochondrial(LOC410550)"	Apis mellifera	"GO:0006546~glycine catabolic process,\"
GB52021	amyloid beta A4 precursor protein-binding family B member 1-interacting protein(LOC100578818)	Apis mellifera	"GO:0007165~signal transduction,\"
GB45708	annulin-like(LOC726462)	Apis mellifera	"GO:0018149~peptide cross-linking,\"
GB54774	armadillo segment polarity protein(arm)	Apis mellifera	"GO:0034333~adherens junction assembly,\"
GB42604	arrestin red cell(LOC409006)	Apis mellifera	"GO:0007165~signal transduction,\"
GB44493	arylsulfatase B-like(LOC551758)	Apis mellifera	"GO:0008152~metabolic process,\"
GB55388	arylsulfatase B-like(LOC552073)	Apis mellifera	"GO:0008152~metabolic process,\"
GB42000	"cAMP-specific 3',5'-cyclic phosphodiesterase(LOC411288)"	Apis mellifera	"GO:0007165~signal transduction,\"
GB40703	cadherin-23(LOC410368)	Apis mellifera	"GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,\"
GB47118	cadherin-89D(LOC413210)	Apis mellifera	"GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,\"
GB43786	calsyntenin-1(LOC413977)	Apis mellifera	"GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,\"
