ID	Gene Name	Species	GOTERM_BP_DIRECT
GB48938	26S proteasome non-ATPase regulatory subunit 2-like(LOC413574)	Apis mellifera	GO:0042176~regulation of protein catabolic process,
GB42411	BTB/POZ domain-containing protein kctd15-like(LOC411214)	Apis mellifera	GO:0051260~protein homooligomerization,
GB50219	DE-cadherin(LOC410585)	Apis mellifera	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,
GB41222	G-protein coupled receptor Mth2-like(LOC724780)	Apis mellifera	GO:0007166~cell surface receptor signaling pathway,
GB55022	GTPase-activating protein and VPS9 domain-containing protein 1(LOC411806)	Apis mellifera	GO:0007165~signal transduction,GO:0043087~regulation of GTPase activity,
GB48134	L-lactate dehydrogenase-like(LOC411188)	Apis mellifera	GO:0005975~carbohydrate metabolic process,GO:0019752~carboxylic acid metabolic process,
GB48122	MAU2 chromatid cohesion factor homolog(LOC411194)	Apis mellifera	GO:0007064~mitotic sister chromatid cohesion,
GB42450	MTSS1-like protein(LOC411219)	Apis mellifera	GO:0007009~plasma membrane organization,
GB43565	OTU domain-containing protein 5-B(LOC724338)	Apis mellifera	GO:0016579~protein deubiquitination,
GB54480	RISC-loading complex subunit TARBP2(LOC725512)	Apis mellifera	GO:0030422~production of siRNA involved in RNA interference,
GB48521	RNA polymerase II elongation factor Ell(LOC409928)	Apis mellifera	GO:0006368~transcription elongation from RNA polymerase II promoter,
GB53614	RNA-binding protein 26(LOC409915)	Apis mellifera	GO:0006397~mRNA processing,
GB42838	RNA-binding protein 39(LOC552289)	Apis mellifera	GO:0006397~mRNA processing,
GB46952	TNF receptor-associated factor 4(LOC408754)	Apis mellifera	GO:0007250~activation of NF-kappaB-inducing kinase activity,GO:0046330~positive regulation of JNK cascade,
GB47303	UDP-glucuronosyltransferase 2A3-like(LOC409203)	Apis mellifera	GO:0008152~metabolic process,
GB42482	V-type proton ATPase 116 kDa subunit a(LOC412810)	Apis mellifera	GO:0015991~ATP hydrolysis coupled proton transport,
GB48940	actin-binding LIM protein 2(LOC726349)	Apis mellifera	GO:0007010~cytoskeleton organization,
GB53401	activating transcription factor 3(LOC408981)	Apis mellifera	GO:0006357~regulation of transcription from RNA polymerase II promoter,
GB53266	alpha-(1,3)-fucosyltransferase C-like(LOC724575)	Apis mellifera	GO:0006486~protein glycosylation,
GB45938	alpha-methyldopa hypersensitive protein-like(LOC410639)	Apis mellifera	GO:0006520~cellular amino acid metabolic process,
GB49623	alpha-tubulin N-acetyltransferase(LOC726664)	Apis mellifera	GO:0048666~neuron development,GO:0070507~regulation of microtubule cytoskeleton organization,GO:0071929~alpha-tubulin acetylation,
GB52021	amyloid beta A4 precursor protein-binding family B member 1-interacting protein(LOC100578818)	Apis mellifera	GO:0007165~signal transduction,
GB47546	apidaecin 1(Apid1)	Apis mellifera	GO:0042742~defense response to bacterium,GO:0045087~innate immune response,
GB51306	apidaecin(LOC406115)	Apis mellifera	GO:0042742~defense response to bacterium,GO:0045087~innate immune response,
GB45973	aromatic-L-amino-acid decarboxylase(LOC410638)	Apis mellifera	GO:0006520~cellular amino acid metabolic process,
GB42616	beta-hexosaminidase subunit beta-like(LOC726818)	Apis mellifera	GO:0005975~carbohydrate metabolic process,
GB40452	brefeldin A-inhibited guanine nucleotide-exchange protein 1(LOC409370)	Apis mellifera	GO:0032012~regulation of ARF protein signal transduction,
GB45446	bursicon subunit alpha(Burs)	Apis mellifera	GO:0007593~chitin-based cuticle sclerotization,GO:0048067~cuticle pigmentation,
GB42000	cAMP-specific 3',5'-cyclic phosphodiesterase(LOC411288)	Apis mellifera	GO:0007165~signal transduction,
GB46697	carbonic anhydrase 1(LOC408827)	Apis mellifera	GO:0006730~one-carbon metabolic process,
GB52004	caspase-1-like(LOC100576484)	Apis mellifera	GO:0035069~larval midgut histolysis,
GB42434	chitinase-3-like protein 1(LOC100577156)	Apis mellifera	GO:0005975~carbohydrate metabolic process,GO:0006032~chitin catabolic process,
GB48505	chitinase-like protein Idgf4(LOC724987)	Apis mellifera	GO:0005975~carbohydrate metabolic process,GO:0006032~chitin catabolic process,
GB48028	circadian locomoter output cycles protein kaput(LOC410757)	Apis mellifera	GO:0006351~transcription, DNA-templated,
GB55123	cytohesin-1-like(LOC727485)	Apis mellifera	GO:0032012~regulation of ARF protein signal transduction,
GB40016	diacylglycerol kinase 1(LOC551069)	Apis mellifera	GO:0007205~protein kinase C-activating G-protein coupled receptor signaling pathway,GO:0035556~intracellular signal transduction,
GB55237	disco-interacting protein 2(LOC408342)	Apis mellifera	GO:0008152~metabolic process,
GB40095	distal-less(Dll)	Apis mellifera	GO:0006355~regulation of transcription, DNA-templated,
GB50909	dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11-like(LOC100577138)	Apis mellifera	GO:0007165~signal transduction,
GB51673	dynein beta chain, ciliary-like(LOC411894)	Apis mellifera	GO:0007018~microtubule-based movement,
GB40681	elongation of very long chain fatty acids protein 1-like(LOC100578829)	Apis mellifera	GO:0006633~fatty acid biosynthetic process,
GB48923	endoribonuclease Dicer(LOC726766)	Apis mellifera	GO:0006396~RNA processing,
GB43778	enhancer of split m7 protein-like(LOC409822)	Apis mellifera	GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,
